Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Shawn Marion,Dallas,1,0,0,9,5-11,0-0,35:28,1,2,-2,11,0,1-1,10,0
Dirk Nowitzki,Dallas,4,0,1,4,7-16,4-4,31:54,1,0,+24,20,0,2-6,5,1
Samuel Dalembert,Dallas,0,1,1,7,3-6,0-0,22:51,4,3,+6,6,0,0-0,11,0
Jose Calderon,Dallas,5,0,0,3,7-13,1-2,31:33,2,0,-1,18,0,3-6,5,1
Monta Ellis,Dallas,2,0,0,5,3-9,4-4,28:12,0,1,+12,11,2,1-2,5,2
Devin Harris,Dallas,7,0,1,2,4-9,4-4,23:05,0,2,-1,12,0,0-1,2,2
Jae Crowder,Dallas,0,0,0,1,1-2,0-0,21:17,0,1,+1,2,1,0-1,1,0
Brandan Wright,Dallas,0,2,0,5,3-4,2-2,20:33,1,1,+5,8,1,0-0,6,1
Vince Carter,Dallas,1,1,0,1,4-11,3-4,20:31,1,2,+11,14,2,3-6,2,2
DeJuan Blair,Dallas,1,0,0,1,0-1,0-0,4:36,0,0,+0,0,0,0-0,1,0
Jeff Green,Boston,3,1,0,3,6-15,3-4,35:55,2,2,+4,18,3,3-8,5,1
Brandon Bass,Boston,0,0,0,2,2-4,2-2,14:45,0,3,-9,6,0,0-0,2,0
Jared Sullinger,Boston,2,0,0,9,4-13,3-3,35:45,3,2,+1,11,0,0-4,12,2
Rajon Rondo,Boston,12,0,0,8,6-12,0-0,36:33,0,0,-2,15,1,3-6,8,0
Avery Bradley,Boston,0,0,1,0,2-13,0-0,18:58,0,2,-11,5,0,1-3,0,1
Kris Humphries,Boston,0,1,1,3,5-12,0-0,23:22,0,2,-7,10,0,0-0,3,0
Kelly Olynyk,Boston,0,0,0,4,2-7,2-2,22:08,2,5,-7,6,0,0-2,6,1
Jerryd Bayless,Boston,8,0,1,1,0-4,2-2,17:09,0,0,-13,2,0,0-0,1,2
Gerald Wallace,Boston,1,0,1,2,2-4,0-0,15:12,1,0,-12,4,0,0-0,3,3
Chris Johnson,Boston,1,1,0,0,4-7,2-2,14:57,3,2,+7,14,1,4-4,3,0
Phil Pressey,Boston,0,0,0,0,0-1,0-0,5:16,0,1,-6,0,0,0-0,0,0
