Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Vince Carter,Dallas,4,0,0,2,6-18,6-7,28:07,0,2,+0,22,2,4-11,2,3
Elton Brand,Dallas,1,1,0,2,2-7,0-0,18:45,3,1,+0,4,0,0-0,5,0
Shawn Marion,Dallas,1,0,0,13,8-11,2-4,35:21,4,1,+0,18,1,0-0,17,3
Mike James,Dallas,0,0,0,0,0-0,0-0,0:02,0,0,+0,0,0,0-0,0,0
Dahntay Jones,Dallas,0,0,0,1,0-3,0-0,13:27,0,2,+0,0,0,0-3,1,1
Brandan Wright,Dallas,0,3,0,3,4-8,1-2,22:39,0,4,+0,9,0,0-0,3,1
O.J. Mayo,Dallas,6,0,0,4,8-13,6-8,39:39,1,3,+0,25,1,3-5,5,2
Darren Collison,Dallas,7,0,0,2,3-9,0-0,30:13,0,1,+0,6,1,0-0,2,2
Rodrigue Beaubois,Dallas,3,0,0,1,2-4,0-0,17:45,1,0,+0,5,2,1-3,2,0
Dominique Jones,Dallas,0,0,0,0,0-0,0-0,0:53,0,0,+0,0,0,0-0,0,1
Bernard James,Dallas,1,1,0,5,2-2,2-3,17:54,3,4,+0,6,1,0-0,8,2
Jae Crowder,Dallas,2,0,0,2,1-6,0-0,15:15,0,0,+0,2,0,0-3,2,0
Richard Jefferson,Golden State,0,0,0,1,3-4,1-1,11:08,0,0,+0,8,1,1-2,1,1
Andris Biedrins,Golden State,0,0,0,0,1-1,0-0,5:31,0,0,+0,2,0,0-0,0,0
Andrew Bogut,Golden State,1,3,0,5,3-9,2-2,25:28,0,4,+0,8,0,0-0,5,1
Jarrett Jack,Golden State,9,0,0,4,3-13,5-5,42:14,0,3,+0,13,1,2-5,4,4
David Lee,Golden State,9,0,0,13,6-13,3-5,41:52,7,2,+0,15,1,0-0,20,2
Carl Landry,Golden State,0,1,0,3,4-11,2-2,19:01,3,1,+0,10,1,0-0,6,0
Klay Thompson,Golden State,0,0,0,1,11-18,2-4,34:56,0,5,+0,27,1,3-7,1,0
Charles Jenkins,Golden State,0,0,0,0,0-0,0-0,2:40,0,0,+0,0,0,0-0,0,1
Harrison Barnes,Golden State,5,0,0,3,4-10,4-4,38:45,1,2,+0,12,1,0-2,4,0
Draymond Green,Golden State,2,0,0,4,1-5,2-2,15:17,1,4,+0,5,0,1-4,5,3
Kent Bazemore,Golden State,0,0,0,0,0-0,0-0,3:08,0,0,+0,0,0,0-0,0,0
