Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dirk Nowitzki,Dallas,3,0,1,6,10-14,3-4,34:28,0,1,+14,26,2,3-4,6,2
Shawn Marion,Dallas,1,0,1,2,3-6,0-0,33:22,0,2,-5,8,3,2-3,2,1
Samuel Dalembert,Dallas,0,0,3,4,6-10,2-3,23:22,6,4,-4,14,0,0-0,10,1
Monta Ellis,Dallas,4,1,0,4,5-16,3-4,39:30,2,2,+4,14,2,1-3,6,2
Jose Calderon,Dallas,4,0,0,1,2-9,0-0,31:02,0,1,+3,5,0,1-4,1,2
Vince Carter,Dallas,7,0,0,1,5-8,2-2,24:08,1,2,+22,13,0,1-2,2,1
Brandan Wright,Dallas,1,0,0,2,6-8,5-7,18:13,2,2,+15,17,0,0-0,4,0
Devin Harris,Dallas,3,0,1,1,1-3,1-3,16:58,0,1,+11,3,0,0-2,1,2
Jae Crowder,Dallas,0,0,0,1,2-2,0-0,9:47,0,1,+6,4,0,0-0,1,0
DeJuan Blair,Dallas,1,2,0,2,2-2,2-2,9:10,0,4,+4,6,0,0-0,2,2
Zach Randolph,Memphis,4,1,1,7,10-16,5-8,40:06,2,3,-12,25,0,0-0,9,2
Tayshaun Prince,Memphis,2,0,0,4,0-3,0-0,23:29,0,0,-10,0,0,0-2,4,0
Marc Gasol,Memphis,5,0,1,3,3-6,6-8,37:32,1,4,-8,12,2,0-0,4,6
Nick Calathes,Memphis,5,0,1,3,6-12,2-2,41:17,2,5,-10,16,3,2-4,5,6
Courtney Lee,Memphis,4,1,0,2,10-15,0-0,39:48,3,5,-11,22,1,2-4,5,1
James Johnson,Memphis,1,4,0,1,6-11,3-4,25:02,0,3,-12,17,0,2-4,1,1
Jon Leuer,Memphis,1,0,0,3,0-1,0-0,9:55,0,0,-8,0,0,0-0,3,0
Kosta Koufos,Memphis,0,0,0,1,2-3,0-0,7:51,0,1,+6,4,1,0-0,1,0
Mike Miller,Memphis,1,0,0,0,0-1,0-0,7:35,0,1,+1,0,0,0-1,0,0
Darius Morris,Memphis,1,0,0,0,0-1,0-0,7:25,0,1,-6,0,0,0-1,0,1
