Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Vince Carter,Dallas,3,0,0,3,6-10,7-7,22:20,0,4,+0,23,0,4-6,3,0
Dirk Nowitzki,Dallas,3,1,0,11,7-13,4-5,31:07,0,0,+0,19,1,1-5,11,1
Elton Brand,Dallas,0,1,0,3,3-4,2-2,15:27,0,2,+0,8,1,0-0,3,0
Mike James,Dallas,7,0,0,6,5-11,2-2,31:29,0,4,+0,13,0,1-3,6,2
Chris Kaman,Dallas,0,0,0,0,0-2,0-0,2:14,0,0,+0,0,0,0-0,0,0
Brandan Wright,Dallas,1,3,0,7,3-7,3-7,32:58,1,3,+0,9,1,0-0,8,1
O.J. Mayo,Dallas,3,0,0,1,6-12,0-0,36:36,0,1,+0,14,1,2-5,1,1
Darren Collison,Dallas,0,0,0,1,2-8,4-4,17:03,0,0,+0,8,0,0-2,1,0
Rodrigue Beaubois,Dallas,3,0,0,0,3-6,0-0,14:33,0,2,+0,7,0,1-4,0,1
Jae Crowder,Dallas,3,0,0,6,6-9,0-0,36:13,2,3,+0,14,1,2-4,8,3
Mike Dunleavy,Milwaukee,1,0,0,6,7-12,0-0,38:05,0,4,+0,18,1,4-5,6,2
Marquis Daniels,Milwaukee,3,0,0,1,0-1,0-0,9:53,1,1,+0,0,0,0-1,2,0
Ersan Ilyasova,Milwaukee,2,0,0,2,3-9,0-0,22:58,1,3,+0,7,3,1-2,3,0
Monta Ellis,Milwaukee,9,0,0,2,12-24,6-6,41:26,0,0,+0,32,2,2-6,2,4
J.J. Redick,Milwaukee,2,0,0,3,7-13,2-2,30:49,0,3,+0,17,0,1-6,3,0
Brandon Jennings,Milwaukee,5,0,0,5,2-7,0-0,27:26,0,4,+0,4,0,0-1,5,2
Ekpe Udoh,Milwaukee,2,1,0,2,6-9,2-3,24:39,3,1,+0,14,0,0-0,5,0
Larry Sanders,Milwaukee,2,4,0,11,5-11,3-4,29:38,1,3,+0,13,1,0-0,12,1
Ish Smith,Milwaukee,1,0,0,0,0-1,0-0,0:36,0,0,+0,0,0,0-0,0,0
Gustavo Ayon,Milwaukee,3,1,0,3,1-2,1-2,14:30,1,3,+0,3,1,0-0,4,0
