Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Vince Carter,Dallas,1,0,0,3,3-10,0-0,23:34,0,3,+0,9,1,3-6,3,0
Dirk Nowitzki,Dallas,1,1,0,6,3-11,2-2,26:29,0,1,+0,9,0,1-4,6,1
Elton Brand,Dallas,0,0,0,5,3-5,0-0,20:35,3,2,+0,6,1,0-0,8,1
Shawn Marion,Dallas,7,1,0,6,5-12,4-4,34:06,3,3,+0,14,0,0-1,9,1
Chris Kaman,Dallas,0,2,0,6,7-14,3-3,30:06,2,1,+0,17,0,0-0,8,0
Dahntay Jones,Dallas,0,0,0,0,0-2,0-0,15:00,1,3,+0,0,1,0-0,1,0
O.J. Mayo,Dallas,5,1,0,3,1-7,1-3,35:48,0,4,+0,4,1,1-5,3,6
Chris Douglas-Roberts,Dallas,1,0,0,1,2-5,0-0,15:03,0,1,+0,4,0,0-1,1,0
Darren Collison,Dallas,4,0,0,4,13-22,2-2,40:03,1,0,+0,32,4,4-4,5,3
Dominique Jones,Dallas,3,0,0,0,2-5,1-1,12:57,0,0,+0,6,1,1-1,0,1
Jae Crowder,Dallas,0,0,0,2,1-2,1-1,11:19,0,1,+0,4,0,1-2,2,0
Nick Collison,Oklahoma City,2,0,0,1,0-1,2-2,18:16,1,1,+0,2,0,0-0,2,0
Kendrick Perkins,Oklahoma City,0,3,0,3,0-6,0-0,23:25,4,0,+0,0,0,0-0,7,1
Kevin Martin,Oklahoma City,2,0,0,7,6-12,4-4,34:38,0,2,+0,18,1,2-4,7,0
Thabo Sefolosha,Oklahoma City,2,1,0,2,3-7,0-0,33:53,0,2,+0,8,3,2-6,2,2
Kevin Durant,Oklahoma City,5,3,0,6,13-28,10-10,48:48,2,3,+0,40,1,4-8,8,4
Russell Westbrook,Oklahoma City,10,1,0,5,7-20,2-3,41:35,1,5,+0,16,3,0-3,6,2
Serge Ibaka,Oklahoma City,0,5,0,9,7-10,5-8,41:35,8,1,+0,19,0,0-0,17,1
Hasheem Thabeet,Oklahoma City,0,0,0,0,1-2,0-1,11:25,0,3,+0,2,0,0-0,0,1
Reggie Jackson,Oklahoma City,2,0,0,6,2-7,0-0,11:25,1,1,+0,6,0,2-4,7,1
