Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Vince Carter,Dallas,2,0,0,3,5-10,5-6,26:35,0,3,+0,17,2,2-4,3,1
Elton Brand,Dallas,2,4,0,8,2-8,0-0,30:10,2,3,+0,4,2,0-0,10,1
Shawn Marion,Dallas,2,4,0,7,6-14,2-2,30:18,4,1,+0,14,0,0-2,11,1
Mike James,Dallas,5,0,0,3,1-9,2-2,16:50,0,2,+0,4,1,0-4,3,3
Dahntay Jones,Dallas,1,0,0,1,0-1,0-0,6:38,0,0,+0,0,0,0-1,1,2
Brandan Wright,Dallas,1,1,0,6,5-7,1-2,18:37,0,0,+0,11,0,0-0,6,0
O.J. Mayo,Dallas,4,0,0,3,7-19,4-5,37:02,2,2,+0,20,3,2-3,5,3
Darren Collison,Dallas,6,2,0,4,6-9,5-5,31:10,2,3,+0,19,1,2-3,6,4
Bernard James,Dallas,0,0,0,3,3-4,1-1,16:55,2,1,+0,7,1,0-0,5,0
Jae Crowder,Dallas,2,1,0,1,5-7,1-2,25:45,0,3,+0,13,0,2-4,1,0
Luis Scola,Phoenix,2,1,0,6,7-15,4-4,31:10,2,4,+0,18,1,0-1,8,0
Marcin Gortat,Phoenix,2,2,0,6,6-13,4-5,30:38,1,1,+0,16,0,0-0,7,1
Shannon Brown,Phoenix,2,1,0,1,7-11,5-6,22:49,1,1,+0,20,1,1-3,2,1
P.J. Tucker,Phoenix,1,0,0,5,2-7,0-0,32:55,3,2,+0,4,3,0-1,8,1
Jared Dudley,Phoenix,1,1,0,2,7-12,0-2,33:26,1,4,+0,17,0,3-6,3,2
Michael Beasley,Phoenix,1,1,0,5,2-13,0-0,28:21,1,2,+0,4,1,0-1,6,3
Goran Dragic,Phoenix,9,1,0,6,7-14,5-6,37:41,2,3,+0,19,1,0-2,8,2
Markieff Morris,Phoenix,0,0,0,1,0-2,0-0,12:41,1,2,+0,0,1,0-0,2,1
Kendall Marshall,Phoenix,2,0,0,2,0-2,1-2,10:19,0,2,+0,1,1,0-1,2,2
