Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Vince Carter,Dallas,1,1,0,4,5-9,1-1,19:05,1,1,+0,13,0,2-5,5,1
Dirk Nowitzki,Dallas,0,0,0,6,3-4,1-2,20:02,0,1,+0,8,1,1-1,6,0
Elton Brand,Dallas,0,0,0,1,1-4,0-0,13:36,1,2,+0,2,0,0-0,2,0
Shawn Marion,Dallas,2,0,0,5,2-7,0-0,23:24,0,0,+0,4,0,0-1,5,3
Chris Kaman,Dallas,2,0,0,3,5-9,0-0,20:40,0,0,+0,10,1,0-0,3,3
Dahntay Jones,Dallas,1,0,0,2,2-4,2-4,18:31,1,2,+0,7,0,1-1,3,0
Brandan Wright,Dallas,2,0,0,1,3-5,2-4,13:44,2,1,+0,8,1,0-0,3,0
O.J. Mayo,Dallas,6,0,0,1,3-8,1-2,28:21,1,2,+0,7,2,0-2,2,6
Chris Douglas-Roberts,Dallas,1,0,0,1,0-0,3-4,9:32,0,0,+0,3,1,0-0,1,1
Darren Collison,Dallas,2,0,0,2,6-9,3-4,24:31,0,3,+0,15,1,0-0,2,2
Rodrigue Beaubois,Dallas,1,0,0,0,0-2,0-0,12:00,1,1,+0,0,0,0-2,1,1
Dominique Jones,Dallas,4,0,0,1,1-7,3-6,20:18,1,1,+0,5,2,0-1,2,2
Jae Crowder,Dallas,0,0,0,3,3-6,2-2,16:16,1,4,+0,9,1,1-1,4,1
Tim Duncan,San Antonio,4,2,0,5,7-15,1-2,23:11,0,1,+0,15,1,0-0,5,1
Stephen Jackson,San Antonio,1,0,0,3,5-8,2-3,21:32,0,1,+0,14,0,2-5,3,4
Manu Ginobili,San Antonio,9,0,0,4,2-4,1-1,21:08,0,2,+0,6,4,1-1,4,1
Tony Parker,San Antonio,6,1,0,0,5-9,6-7,28:28,1,1,+0,18,1,2-2,1,4
Boris Diaw,San Antonio,3,0,0,1,3-5,0-0,19:17,2,1,+0,7,1,1-1,3,0
Matt Bonner,San Antonio,1,0,0,2,3-3,0-0,10:32,0,1,+0,8,0,2-2,2,0
Tiago Splitter,San Antonio,0,1,0,6,1-4,3-4,21:15,1,2,+0,5,1,0-0,7,1
DeJuan Blair,San Antonio,0,0,0,3,1-4,0-0,12:00,1,4,+0,2,0,0-0,4,2
Danny Green,San Antonio,0,1,0,3,9-10,0-0,22:31,1,1,+0,25,1,7-8,4,0
Nando De Colo,San Antonio,5,0,0,2,1-3,0-0,13:07,1,4,+0,2,2,0-0,3,3
Patty Mills,San Antonio,1,0,0,0,3-4,0-0,12:00,0,3,+0,7,0,1-1,0,0
Gary Neal,San Antonio,1,0,0,1,1-4,0-0,8:56,0,1,+0,3,1,1-3,1,0
Kawhi Leonard,San Antonio,2,0,0,3,6-11,2-2,26:03,1,0,+0,17,5,3-7,4,0
