Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Shawn Marion,Dallas,2,0,0,5,2-6,0-0,34:07,1,3,-2,4,0,0-1,6,1
Dirk Nowitzki,Dallas,0,0,0,8,12-14,3-3,33:19,0,1,+22,31,0,4-4,8,2
Samuel Dalembert,Dallas,1,1,0,4,2-3,0-0,15:29,0,5,-1,4,0,0-0,4,3
Monta Ellis,Dallas,11,0,2,6,6-15,3-4,35:48,1,1,+1,16,1,1-1,7,4
Jose Calderon,Dallas,5,0,0,1,3-8,2-2,31:50,0,1,+1,10,0,2-4,1,0
Vince Carter,Dallas,3,0,0,2,3-9,0-0,24:13,1,3,-11,8,0,2-5,3,0
Devin Harris,Dallas,3,0,0,3,5-9,1-1,19:39,0,2,+10,12,0,1-3,3,3
Brandan Wright,Dallas,0,1,0,1,4-7,0-0,15:07,0,2,+6,8,1,0-0,1,0
Wayne Ellington,Dallas,1,0,0,1,4-5,0-0,12:53,1,2,+9,11,0,3-3,2,0
DeJuan Blair,Dallas,0,0,0,3,1-2,2-2,10:08,1,1,-1,4,0,0-0,4,0
Bernard James,Dallas,0,0,0,0,0-1,0-0,7:27,0,2,+1,0,0,0-0,0,0
Richard Jefferson,Utah,1,0,0,3,4-12,3-4,29:26,0,0,-9,12,0,1-5,3,2
Marvin Williams,Utah,0,0,0,1,1-4,0-0,21:55,0,1,-7,2,1,0-3,1,1
Derrick Favors,Utah,1,1,0,1,6-8,3-4,27:57,4,4,+0,15,1,0-0,5,1
Trey Burke,Utah,6,0,0,1,8-18,1-1,35:23,0,0,-4,20,0,3-9,1,0
Gordon Hayward,Utah,6,0,0,6,3-7,1-2,34:48,0,3,-2,8,0,1-5,6,3
Alec Burks,Utah,8,0,1,4,4-12,5-6,31:46,0,2,-3,13,3,0-2,4,2
Enes Kanter,Utah,0,1,1,6,8-13,2-3,28:04,5,2,-8,18,0,0-0,11,0
Jeremy Evans,Utah,1,0,0,4,4-7,1-1,18:04,2,3,+1,9,0,0-0,6,1
Diante Garrett,Utah,0,0,0,3,2-4,0-0,12:37,0,3,-3,4,1,0-2,3,1
