Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Miller,Denver,5,1,0,2,3-6,2-2,26:12,0,0,+0,8,2,0-1,2,4
Andre Iguodala,Denver,10,2,0,4,5-7,2-3,29:44,1,5,+0,13,2,1-3,5,1
Corey Brewer,Denver,2,0,0,3,5-16,2-2,27:44,1,3,+0,14,2,2-8,4,2
Wilson Chandler,Denver,3,0,0,5,4-9,2-2,28:37,1,5,+0,11,1,1-2,6,1
Danilo Gallinari,Denver,2,2,0,1,2-3,0-0,15:19,0,2,+0,6,1,2-3,1,1
Anthony Randolph,Denver,1,0,0,0,0-0,1-2,2:20,0,2,+0,1,0,0-0,0,1
JaVale McGee,Denver,1,3,0,4,8-10,1-1,17:20,2,2,+0,17,0,0-0,6,3
Kosta Koufos,Denver,0,2,0,3,4-7,0-0,22:13,3,3,+0,8,1,0-0,6,0
Ty Lawson,Denver,5,0,0,3,6-15,7-9,39:34,2,2,+0,20,0,1-2,5,3
Kenneth Faried,Denver,1,0,0,4,7-9,1-1,27:03,1,4,+0,15,2,0-0,5,1
Jordan Hamilton,Denver,0,0,0,0,0-1,0-0,2:20,0,0,+0,0,0,0-0,0,0
Evan Fournier,Denver,0,0,0,0,0-0,0-0,1:36,0,0,+0,0,0,0-0,0,0
Brendan Haywood,Charlotte,0,1,0,3,0-1,0-0,7:38,2,1,+0,0,1,0-0,5,0
Ben Gordon,Charlotte,2,0,0,0,0-3,0-0,11:50,0,0,+0,0,1,0-0,0,1
Josh McRoberts,Charlotte,0,0,0,2,0-1,0-0,5:35,1,0,+0,0,0,0-1,3,0
Ramon Sessions,Charlotte,4,0,0,1,4-8,1-2,22:10,0,2,+0,9,0,0-1,1,1
Gerald Henderson,Charlotte,2,2,0,3,7-11,4-4,31:33,1,5,+0,19,0,1-1,4,2
Byron Mullens,Charlotte,3,0,0,2,1-9,2-4,28:15,1,2,+0,4,2,0-3,3,2
Jeff Adrien,Charlotte,1,2,0,3,2-3,0-0,9:36,0,1,+0,4,0,0-0,3,0
Bismack Biyombo,Charlotte,0,2,0,4,3-8,3-4,37:06,5,3,+0,9,0,0-0,9,2
Kemba Walker,Charlotte,5,0,0,2,9-14,5-6,31:38,0,4,+0,24,2,1-2,2,3
Michael Kidd-Gilchrist,Charlotte,3,1,0,4,4-11,4-4,21:21,0,0,+0,12,0,0-0,4,3
Jeffery Taylor,Charlotte,2,2,0,1,7-13,4-6,33:18,2,2,+0,18,2,0-3,3,4
