Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Miller,Denver,13,0,0,3,4-8,0-0,29:18,3,3,+0,8,0,0-0,6,3
Andre Iguodala,Denver,1,3,0,9,3-14,4-4,38:06,1,2,+0,12,2,2-6,10,2
Corey Brewer,Denver,2,0,0,2,7-13,0-2,25:21,2,2,+0,16,3,2-6,4,3
Wilson Chandler,Denver,4,0,0,7,13-21,8-9,39:01,2,2,+0,35,2,1-2,9,2
Danilo Gallinari,Denver,3,0,0,5,2-7,6-9,38:47,2,3,+0,11,0,1-3,7,0
JaVale McGee,Denver,0,1,0,1,6-8,0-0,22:02,2,1,+0,12,1,0-0,3,0
Kosta Koufos,Denver,0,0,0,3,2-7,0-0,21:08,6,2,+0,4,1,0-0,9,0
Ty Lawson,Denver,3,0,0,3,5-14,2-3,35:56,0,2,+0,13,1,1-3,3,2
Kenneth Faried,Denver,0,1,0,0,4-8,0-0,15:21,2,2,+0,8,0,0-0,2,1
Nazr Mohammed,Chicago,2,0,0,1,1-1,0-0,4:22,1,1,+0,2,0,0-0,2,0
Carlos Boozer,Chicago,3,1,0,9,6-11,2-2,41:38,0,4,+0,14,0,0-0,9,1
Luol Deng,Chicago,5,0,0,1,9-23,2-2,50:04,1,1,+0,21,0,1-5,2,1
Nate Robinson,Chicago,7,0,0,1,13-22,2-3,46:14,0,5,+0,34,2,6-8,1,7
Joakim Noah,Chicago,6,7,0,9,7-10,0-0,35:27,3,3,+0,14,0,0-0,12,5
Marco Belinelli,Chicago,2,0,0,6,7-20,4-4,51:13,2,5,+0,18,4,0-4,8,0
Jimmy Butler,Chicago,4,3,0,3,4-7,6-8,32:24,4,2,+0,15,1,1-2,7,0
Marquis Teague,Chicago,0,0,0,0,0-2,0-0,3:38,1,0,+0,0,0,0-2,1,0
