Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Wilson Chandler,Denver,5,0,0,4,3-6,0-0,31:09,0,2,-16,6,1,0-2,4,1
Kenneth Faried,Denver,3,1,4,3,2-10,2-2,21:16,2,2,-5,6,3,0-0,5,1
Timofey Mozgov,Denver,1,1,0,2,2-3,3-3,13:35,2,4,+9,7,0,0-0,4,0
Ty Lawson,Denver,9,0,0,1,6-12,2-3,38:18,0,1,-12,17,0,3-5,1,7
Randy Foye,Denver,1,0,1,2,5-10,0-0,27:34,1,1,-6,15,1,5-8,3,1
Darrell Arthur,Denver,2,1,0,1,4-6,2-2,27:47,1,1,-11,11,0,1-2,2,2
J.J. Hickson,Denver,0,0,0,5,8-12,2-9,23:41,3,2,-18,18,2,0-0,8,2
Aaron Brooks,Denver,2,0,0,0,3-7,0-0,21:09,1,1,-18,6,0,0-3,1,1
Evan Fournier,Denver,1,1,0,1,2-6,2-2,18:17,0,2,-1,7,1,1-4,1,0
Anthony Randolph,Denver,0,0,0,6,4-7,0-0,16:03,0,3,-4,10,0,2-4,6,0
Quincy Miller,Denver,0,0,0,0,1-2,0-0,1:11,0,0,+2,3,0,1-2,0,1
Shawn Marion,Dallas,3,0,0,5,7-11,0-0,32:21,2,0,+11,14,2,0-1,7,0
Dirk Nowitzki,Dallas,1,1,0,6,9-15,2-3,28:56,0,4,+7,21,2,1-2,6,1
Samuel Dalembert,Dallas,0,1,1,3,1-6,2-2,16:03,7,0,-4,4,1,0-0,10,3
Monta Ellis,Dallas,7,0,0,4,11-14,2-2,33:33,0,4,+12,26,1,2-4,4,5
Jose Calderon,Dallas,6,1,0,4,4-9,0-0,26:50,0,1,+7,10,0,2-4,4,1
Vince Carter,Dallas,4,1,1,3,5-12,0-0,24:31,0,2,+9,13,2,3-5,3,0
Devin Harris,Dallas,3,0,1,2,1-5,5-5,24:17,0,0,+13,7,1,0-1,2,3
Brandan Wright,Dallas,3,1,1,2,6-9,1-1,20:49,1,3,+20,13,0,0-0,3,0
Jae Crowder,Dallas,1,0,0,3,4-4,0-0,17:59,1,2,+11,12,1,4-4,4,2
DeJuan Blair,Dallas,0,0,0,1,0-3,2-4,11:08,3,2,+0,2,0,0-0,4,0
Wayne Ellington,Dallas,0,0,0,0,0-1,0-0,1:11,0,0,-2,0,0,0-1,0,0
Bernard James,Dallas,0,0,0,0,0-0,0-0,1:11,1,0,-2,0,0,0-0,1,1
Shane Larkin,Dallas,0,0,0,0,0-0,0-0,1:11,0,0,-2,0,1,0-0,0,0
