Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Wilson Chandler,Denver,0,1,0,6,8-15,1-2,30:17,0,1,-11,19,2,2-8,6,0
Kenneth Faried,Denver,1,0,0,0,0-1,2-2,3:15,0,1,-7,2,0,0-0,0,0
J.J. Hickson,Denver,2,0,2,5,3-10,0-1,21:28,4,3,-10,6,0,0-0,9,0
Ty Lawson,Denver,6,0,1,2,4-8,4-4,33:11,0,3,-17,13,2,1-2,2,1
Randy Foye,Denver,0,0,0,1,0-7,0-0,16:26,0,2,-2,0,0,0-5,1,3
Jordan Hamilton,Denver,1,0,2,4,1-10,1-2,26:40,0,0,-19,4,5,1-6,4,2
Timofey Mozgov,Denver,0,0,0,5,6-9,3-5,26:16,4,3,+0,15,0,0-0,9,3
Nate Robinson,Denver,3,0,0,1,3-7,3-3,21:26,1,3,-3,11,1,2-6,2,2
Darrell Arthur,Denver,1,1,1,4,2-7,2-2,16:25,0,1,-9,6,2,0-0,4,0
Andre Miller,Denver,2,0,0,1,0-4,0-0,15:38,1,1,-5,0,0,0-1,2,0
Anthony Randolph,Denver,0,1,2,5,1-5,4-4,12:18,2,5,-17,6,0,0-1,7,4
Quincy Miller,Denver,0,0,0,1,3-4,2-2,9:43,3,0,+0,8,0,0-0,4,3
Evan Fournier,Denver,0,0,0,0,0-1,1-2,6:57,0,3,-5,1,0,0-1,0,0
Blake Griffin,LA Clippers,4,1,0,11,8-17,8-10,35:43,5,2,+19,24,1,0-1,16,3
Jared Dudley,LA Clippers,1,0,0,2,3-8,0-0,28:28,0,3,+15,9,0,3-7,2,2
DeAndre Jordan,LA Clippers,1,3,1,10,2-3,3-6,32:00,2,2,+19,7,0,0-0,12,2
Jamal Crawford,LA Clippers,1,0,0,2,10-20,1-1,31:07,1,2,+22,27,1,6-12,3,3
Chris Paul,LA Clippers,11,0,0,3,3-8,4-5,30:21,0,2,+18,10,3,0-1,3,3
Darren Collison,LA Clippers,1,0,0,0,5-7,2-4,22:34,1,1,+7,13,0,1-2,1,2
Matt Barnes,LA Clippers,3,3,0,2,5-12,0-0,21:55,1,4,+7,13,2,3-7,3,1
Willie Green,LA Clippers,3,0,0,2,1-6,1-2,15:12,0,1,+2,3,0,0-3,2,0
Ryan Hollins,LA Clippers,0,1,1,2,0-1,1-2,10:04,0,0,-4,1,0,0-0,2,0
Antawn Jamison,LA Clippers,0,0,1,1,2-4,1-1,9:30,1,2,+0,5,1,0-0,2,0
Stephen Jackson,LA Clippers,1,0,0,0,0-0,0-0,3:06,0,1,+0,0,1,0-0,0,1
