Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kenneth Faried,Denver,1,0,1,7,9-15,6-8,30:07,3,2,-3,24,3,0-0,10,2
Wilson Chandler,Denver,2,0,0,3,2-8,1-1,21:52,0,4,-9,6,0,1-4,3,2
Timofey Mozgov,Denver,1,1,0,4,1-3,2-2,16:02,2,1,+0,4,0,0-1,6,1
Ty Lawson,Denver,9,0,1,4,2-7,9-10,38:27,1,1,-17,13,4,0-1,5,6
Randy Foye,Denver,1,0,0,0,2-7,2-2,24:02,0,2,-5,7,0,1-5,0,1
Evan Fournier,Denver,4,0,1,5,6-14,0-0,30:24,1,3,+9,14,1,2-5,6,0
J.J. Hickson,Denver,3,1,1,7,5-9,1-2,26:01,2,2,+4,11,0,0-0,9,0
Darrell Arthur,Denver,0,0,1,0,7-11,3-3,23:47,0,3,+6,18,4,1-1,0,1
Aaron Brooks,Denver,5,0,0,0,3-5,0-0,15:06,0,2,+17,9,0,3-4,0,1
Quincy Miller,Denver,0,0,0,2,2-3,1-1,14:12,0,1,+18,5,1,0-0,2,1
LeBron James,Miami,6,0,0,6,8-17,5-7,39:50,0,3,-8,21,1,0-4,6,4
Shane Battier,Miami,0,1,0,1,0-1,0-0,11:20,0,2,-2,0,1,0-1,1,1
Chris Bosh,Miami,1,0,0,5,4-12,3-4,35:42,3,3,-7,11,3,0-4,8,4
Mario Chalmers,Miami,6,0,1,4,7-11,0-0,36:09,0,3,-4,16,2,2-4,4,3
Dwyane Wade,Miami,6,0,1,4,8-18,3-5,35:02,1,1,-3,19,0,0-0,5,2
Ray Allen,Miami,2,0,0,3,7-9,3-3,29:14,1,3,+14,22,1,5-7,4,1
Chris Andersen,Miami,0,4,0,4,6-7,2-2,21:32,2,0,+9,14,0,0-1,6,0
Norris Cole,Miami,1,0,0,0,0-2,0-0,18:38,0,3,-5,0,0,0-2,0,1
Michael Beasley,Miami,1,0,0,1,2-4,0-0,7:17,0,0,+1,4,0,0-1,1,0
Greg Oden,Miami,0,0,0,0,0-0,0-0,5:17,0,1,-15,0,0,0-0,0,2
