Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Wilson Chandler,Denver,1,0,3,7,7-20,5-6,37:27,2,2,-11,22,1,3-9,9,0
J.J. Hickson,Denver,1,0,0,7,7-9,2-6,36:29,3,4,-4,16,1,0-0,10,2
Timofey Mozgov,Denver,0,1,1,5,4-8,0-0,27:37,4,2,-3,8,1,0-0,9,0
Ty Lawson,Denver,12,0,1,1,3-12,8-8,35:39,0,0,-9,14,3,0-4,1,8
Jordan Hamilton,Denver,1,1,1,7,5-13,0-2,32:10,0,2,-5,12,0,2-6,7,0
Anthony Randolph,Denver,1,2,0,4,3-7,2-2,19:30,0,2,-11,8,1,0-0,4,2
Nate Robinson,Denver,1,0,0,0,0-3,0-0,15:44,0,1,-16,0,1,0-2,0,3
Andre Miller,Denver,1,0,1,0,0-3,0-0,15:10,0,1,-10,0,1,0-1,0,1
Quincy Miller,Denver,0,0,1,0,4-6,0-0,13:03,2,0,-3,9,0,1-1,2,1
Randy Foye,Denver,1,0,0,0,0-1,0-0,7:11,0,1,-8,0,1,0-0,0,0
Ryan Anderson,New Orleans,1,0,0,5,6-19,0-0,39:30,5,1,+7,16,0,4-11,10,1
Al-Farouq Aminu,New Orleans,4,0,0,6,5-8,1-2,30:45,2,2,+7,11,1,0-0,8,1
Anthony Davis,New Orleans,1,4,1,4,7-12,3-6,27:50,3,4,+7,17,1,0-0,7,2
Jrue Holiday,New Orleans,8,0,0,3,8-13,0-0,29:17,1,5,+7,17,4,1-1,4,2
Anthony Morrow,New Orleans,1,1,0,0,3-8,0-0,16:46,0,0,-2,8,1,2-5,0,2
Tyreke Evans,New Orleans,10,0,3,6,7-17,4-4,32:17,1,1,+20,19,2,1-2,7,2
Alexis Ajinca,New Orleans,2,1,0,6,2-3,0-0,20:10,2,2,+9,4,0,0-0,8,2
Brian Roberts,New Orleans,0,0,0,4,0-4,0-0,19:24,0,1,+12,0,1,0-1,4,3
Darius Miller,New Orleans,1,1,0,4,3-4,2-3,19:09,0,4,+7,11,0,3-4,4,1
Louis Amundson,New Orleans,0,1,0,0,1-1,0-0,4:52,1,1,+6,2,0,0-0,1,0
