Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Wilson Chandler,Denver,2,2,2,2,3-12,1-3,32:17,1,2,-3,8,2,1-6,3,0
Kenneth Faried,Denver,1,1,0,5,2-4,1-2,25:38,1,2,+0,5,0,0-0,6,2
J.J. Hickson,Denver,2,2,1,13,7-14,4-8,33:02,6,4,-4,18,1,0-1,19,3
Ty Lawson,Denver,8,0,3,4,9-17,10-12,36:39,0,2,-4,29,0,1-5,4,1
Randy Foye,Denver,4,1,0,2,4-8,1-3,28:54,0,4,+11,11,1,2-5,2,1
Evan Fournier,Denver,2,0,0,3,4-7,2-4,16:59,0,3,-6,12,0,2-3,3,0
Jordan Hamilton,Denver,2,0,0,3,2-6,1-1,16:19,0,1,-9,6,0,1-1,3,0
Darrell Arthur,Denver,0,0,0,0,3-5,0-0,15:13,1,1,+4,6,0,0-1,1,2
Timofey Mozgov,Denver,0,0,0,2,3-4,1-4,14:58,1,2,+2,7,0,0-0,3,1
Andre Miller,Denver,2,0,0,1,0-1,1-2,11:21,0,1,+2,1,2,0-0,1,0
Nate Robinson,Denver,1,0,0,0,3-5,3-4,8:40,0,0,-3,10,1,1-1,0,1
Kevin Durant,Oklahoma City,6,1,1,5,11-27,13-16,42:47,3,2,+5,38,1,3-9,8,3
Serge Ibaka,Oklahoma City,4,3,0,2,3-7,0-0,31:11,5,5,+4,6,0,0-0,7,0
Kendrick Perkins,Oklahoma City,2,0,2,2,1-4,0-0,14:40,3,3,-11,2,0,0-0,5,2
Russell Westbrook,Oklahoma City,7,0,2,10,10-25,7-10,38:06,2,2,+5,30,0,3-4,12,5
Thabo Sefolosha,Oklahoma City,1,1,0,1,3-6,0-0,22:17,2,2,-10,8,1,2-3,3,0
Reggie Jackson,Oklahoma City,2,0,0,5,4-11,4-4,23:43,2,1,+6,14,1,2-6,7,2
Jeremy Lamb,Oklahoma City,0,0,0,1,3-5,0-0,19:40,0,3,+0,8,2,2-3,1,0
Nick Collison,Oklahoma City,1,0,1,4,2-5,0-0,19:18,2,3,+0,4,0,0-0,6,0
Derek Fisher,Oklahoma City,0,0,0,2,1-3,2-2,18:52,0,4,+13,5,1,1-2,2,0
Steven Adams,Oklahoma City,1,1,0,0,0-0,0-0,5:53,0,1,-4,0,0,0-0,0,0
Perry Jones,Oklahoma City,0,0,0,2,0-0,0-0,3:33,0,1,+2,0,0,0-0,2,0
