Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Greg Monroe,Detroit,3,2,4,11,3-10,2-4,36:25,1,2,+20,8,2,0-0,12,3
Josh Smith,Detroit,3,0,2,10,2-11,2-2,34:52,0,2,+15,7,1,1-2,10,5
Andre Drummond,Detroit,1,2,0,6,4-11,0-0,30:29,8,4,-2,8,0,0-0,14,3
Brandon Jennings,Detroit,5,0,0,3,12-22,4-4,41:55,0,1,+25,33,2,5-8,3,3
Kentavious Caldwell-Pope,Detroit,0,0,0,2,4-8,0-0,38:15,1,3,+19,9,1,1-1,3,0
Kyle Singler,Detroit,0,1,0,3,4-5,2-3,22:29,1,2,+5,12,2,2-3,4,1
Josh Harrellson,Detroit,2,3,0,3,4-6,0-0,12:56,2,3,+16,10,0,2-2,5,0
Rodney Stuckey,Detroit,1,0,1,0,0-3,2-2,9:45,0,0,-2,2,0,0-0,0,1
Jonas Jerebko,Detroit,0,0,0,0,1-3,0-0,6:49,0,2,-3,3,0,1-3,0,1
Peyton Siva,Detroit,0,1,0,0,0-1,0-0,6:05,0,1,-8,0,0,0-0,0,1
Taj Gibson,Chicago,1,1,1,7,9-20,3-6,42:27,3,1,-16,21,0,0-0,10,2
Carlos Boozer,Chicago,0,0,4,4,4-16,5-5,33:09,3,2,-18,13,0,0-0,7,1
Joakim Noah,Chicago,2,4,1,5,1-7,0-0,28:38,4,2,-2,2,0,0-0,9,2
Tony Snell,Chicago,3,1,3,3,3-12,2-2,42:27,0,0,-16,8,2,0-3,3,1
Kirk Hinrich,Chicago,4,1,0,4,1-10,0-0,36:18,0,1,-18,3,4,1-7,4,5
Mike Dunleavy,Chicago,4,0,0,6,7-15,0-0,33:44,0,2,-17,16,1,2-8,6,1
Marquis Teague,Chicago,3,0,0,3,4-8,2-2,17:15,0,2,+0,10,0,0-0,3,0
Nazr Mohammed,Chicago,0,0,0,1,1-2,0-0,6:02,1,1,+2,2,1,0-0,2,1
