Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kyle Singler,Detroit,0,1,1,6,5-8,0-0,26:02,3,3,-10,13,0,3-3,9,1
Josh Smith,Detroit,1,2,0,6,4-11,0-0,23:00,1,2,-6,8,0,0-1,7,0
Greg Monroe,Detroit,3,1,1,4,9-12,4-9,40:38,1,4,+2,22,4,0-0,5,2
Rodney Stuckey,Detroit,1,0,0,1,8-17,2-2,37:27,0,1,-4,18,2,0-1,1,2
Brandon Jennings,Detroit,5,0,0,1,3-8,0-0,30:21,1,1,-5,7,0,1-5,2,4
Kentavious Caldwell-Pope,Detroit,1,0,2,7,2-11,4-4,27:41,3,0,-1,9,2,1-4,10,2
Will Bynum,Detroit,10,0,0,1,4-8,3-4,22:29,1,0,-7,12,0,1-1,2,1
Charlie Villanueva,Detroit,1,0,1,3,5-13,0-0,16:42,1,5,-13,13,0,3-9,4,0
Jonas Jerebko,Detroit,0,0,0,2,3-7,0-0,15:40,1,4,-1,7,0,1-2,3,0
Kenneth Faried,Denver,2,1,0,6,4-8,7-10,32:27,2,2,+5,15,1,0-0,8,2
Evan Fournier,Denver,0,0,0,1,5-9,0-0,24:23,0,3,-5,11,1,1-3,1,2
Timofey Mozgov,Denver,1,0,0,8,4-5,3-4,17:48,1,4,+3,11,0,0-0,9,1
Aaron Brooks,Denver,17,0,1,3,10-19,6-7,46:36,3,4,+12,27,0,1-5,6,3
Randy Foye,Denver,5,0,1,5,8-18,1-1,44:21,0,0,+11,22,3,5-12,5,3
J.J. Hickson,Denver,2,1,0,9,5-8,1-4,25:36,2,5,+5,11,0,0-0,11,1
Darrell Arthur,Denver,0,2,1,2,5-11,0-0,20:02,0,1,+5,13,0,3-5,2,0
Anthony Randolph,Denver,0,1,0,1,1-3,1-1,18:24,0,1,+15,3,2,0-1,1,0
Quincy Miller,Denver,0,0,0,0,2-4,0-0,7:03,2,2,-7,5,0,1-1,2,0
Jan Vesely,Denver,0,0,1,1,0-1,0-0,3:20,0,2,+1,0,0,0-0,1,0
