Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tayshaun Prince,Detroit,2,0,0,4,3-7,0-0,28:33,2,1,+0,8,0,2-3,6,3
Charlie Villanueva,Detroit,0,0,0,1,1-5,0-0,11:53,1,0,+0,2,0,0-1,2,1
Jason Maxiell,Detroit,0,0,0,2,1-4,0-0,18:43,0,1,+0,2,0,0-0,2,0
Will Bynum,Detroit,1,0,0,1,4-7,4-4,22:26,1,1,+0,13,0,1-1,2,4
Rodney Stuckey,Detroit,1,0,0,1,2-6,0-2,24:32,1,0,+0,4,1,0-2,2,0
Austin Daye,Detroit,0,0,0,2,2-4,4-4,19:27,0,2,+0,9,0,1-1,2,0
Jonas Jerebko,Detroit,0,0,0,0,0-1,0-0,3:32,0,1,+0,0,0,0-0,0,0
Greg Monroe,Detroit,0,0,0,6,12-17,7-8,34:02,6,3,+0,31,1,0-0,12,3
Brandon Knight,Detroit,5,0,0,0,4-7,1-3,27:33,0,3,+0,9,1,0-3,0,3
Kyle Singler,Detroit,1,0,0,0,1-6,0-0,20:36,0,1,+0,2,3,0-0,0,2
Andre Drummond,Detroit,1,2,0,6,3-6,0-2,25:11,1,3,+0,6,3,0-0,7,2
Kim English,Detroit,0,0,0,0,1-2,0-0,3:32,0,2,+0,2,0,0-1,0,0
Ray Allen,Miami,3,1,0,1,3-6,3-4,23:19,0,3,+0,11,1,2-3,1,1
Rashard Lewis,Miami,0,0,0,1,2-3,0-0,3:32,0,1,+0,5,0,1-2,1,0
Mike Miller,Miami,1,0,0,3,1-1,0-0,12:00,0,1,+0,2,0,0-0,3,1
Shane Battier,Miami,0,0,0,1,1-4,0-0,16:07,0,2,+0,3,1,1-3,1,0
Chris Andersen,Miami,0,0,0,1,1-1,0-0,3:32,1,0,+0,2,0,0-0,2,0
LeBron James,Miami,7,0,0,6,9-14,5-6,33:01,1,0,+0,23,1,0-1,7,2
Chris Bosh,Miami,1,0,0,5,5-10,4-5,29:42,2,1,+0,14,1,0-1,7,0
Dwyane Wade,Miami,7,1,0,4,12-20,5-5,34:30,1,1,+0,29,3,0-1,5,5
James Jones,Miami,0,0,0,0,0-0,0-0,2:20,0,0,+0,0,0,0-0,0,0
Udonis Haslem,Miami,1,0,0,3,3-3,0-0,18:16,2,2,+0,6,0,0-0,5,1
Joel Anthony,Miami,1,2,0,0,1-1,0-0,17:02,1,0,+0,2,0,0-0,1,1
Mario Chalmers,Miami,2,0,0,1,2-6,1-2,27:08,1,3,+0,6,4,1-4,2,0
Norris Cole,Miami,1,0,0,1,3-8,1-1,19:32,0,3,+0,7,1,0-2,1,1
