Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tayshaun Prince,Detroit,2,0,0,4,3-6,1-2,14:09,3,0,+0,7,0,0-0,7,1
Charlie Villanueva,Detroit,2,0,0,4,8-13,0-0,21:38,3,1,+0,19,2,3-6,7,1
Jason Maxiell,Detroit,0,2,0,4,5-10,2-2,21:20,1,5,+0,12,1,0-0,5,2
Will Bynum,Detroit,2,0,0,0,2-4,0-0,12:37,1,3,+0,5,0,1-1,1,0
Rodney Stuckey,Detroit,8,0,0,2,4-12,9-10,34:36,0,0,+0,18,0,1-3,2,5
Austin Daye,Detroit,3,0,0,3,2-6,0-0,22:32,2,2,+0,6,0,2-2,5,1
Greg Monroe,Detroit,0,0,0,5,6-11,1-3,29:08,3,4,+0,13,1,0-0,8,2
Brandon Knight,Detroit,4,0,0,4,3-12,3-3,30:35,1,4,+0,10,1,1-4,5,2
Kyle Singler,Detroit,0,0,0,6,1-6,0-0,29:31,1,3,+0,2,2,0-3,7,2
Andre Drummond,Detroit,1,1,0,7,2-8,0-0,23:54,4,3,+0,4,0,0-0,11,1
Nene Hilario,Washington,5,0,0,3,2-8,6-6,26:26,4,2,+0,10,1,0-0,7,2
Emeka Okafor,Washington,0,2,0,11,5-9,4-6,29:16,3,1,+0,14,1,0-0,14,4
Shaun Livingston,Washington,3,0,0,1,1-2,0-0,11:57,0,3,+0,2,0,0-0,1,1
Martell Webster,Washington,2,0,0,5,1-6,2-2,29:19,0,0,+0,4,0,0-3,5,0
Cartier Martin,Washington,0,1,0,3,4-9,0-2,21:44,0,1,+0,10,1,2-5,3,0
Kevin Seraphin,Washington,0,0,0,3,3-8,0-2,17:55,0,1,+0,6,0,0-0,3,0
Jordan Crawford,Washington,6,0,0,1,4-13,11-12,37:13,0,4,+0,21,3,2-8,1,3
Jan Vesely,Washington,0,0,0,2,2-5,2-2,22:19,2,4,+0,6,1,0-0,4,1
Bradley Beal,Washington,4,0,0,4,7-17,0-0,43:51,1,2,+0,14,0,0-5,5,0
