Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Iguodala,Golden State,10,2,1,6,3-7,2-3,39:25,1,3,+3,8,3,0-3,7,2
David Lee,Golden State,2,1,3,3,8-13,3-3,30:05,1,6,-4,19,0,0-0,4,1
Andrew Bogut,Golden State,2,0,0,3,6-7,0-0,28:48,2,2,-11,12,0,0-0,5,3
Stephen Curry,Golden State,11,1,1,9,10-23,4-5,48:12,0,3,+2,29,2,5-10,9,5
Klay Thompson,Golden State,1,1,0,3,5-16,3-4,47:38,1,4,+2,16,2,3-12,4,2
Harrison Barnes,Golden State,0,0,1,3,4-12,1-3,27:26,1,2,+11,10,0,1-4,4,0
Draymond Green,Golden State,2,4,1,7,2-10,0-0,25:06,5,3,+11,5,1,1-4,12,1
Marreese Speights,Golden State,1,0,0,4,4-6,1-1,13:59,1,3,+7,9,0,0-0,5,2
Kent Bazemore,Golden State,1,1,0,2,0-1,0-0,4:21,0,2,-1,0,0,0-0,2,1
Tristan Thompson,Cleveland,1,0,1,8,8-14,1-1,39:58,4,2,+4,17,0,0-0,12,5
Earl Clark,Cleveland,1,2,0,4,2-3,1-1,13:22,0,0,+1,6,0,1-2,4,1
Anderson Varejao,Cleveland,1,2,0,10,3-8,2-2,36:38,2,2,-6,8,1,0-0,12,0
Kyrie Irving,Cleveland,9,0,3,1,9-19,6-6,40:29,0,2,-7,27,1,3-3,1,1
C.J. Miles,Cleveland,1,0,0,1,6-12,2-3,23:29,0,4,+3,17,3,3-6,1,0
Dion Waiters,Cleveland,4,0,2,5,3-15,1-2,38:48,0,1,-3,8,0,1-2,5,5
Jarrett Jack,Cleveland,4,1,2,4,5-11,0-0,34:08,0,4,-9,12,2,2-3,4,2
Tyler Zeller,Cleveland,0,2,0,2,2-5,2-2,18:08,0,2,-2,6,0,0-0,2,0
Anthony Bennett,Cleveland,0,0,2,1,0-4,3-4,11:16,1,0,-4,3,1,0-0,2,0
Matthew Dellavedova,Cleveland,0,0,0,1,0-1,0-0,8:44,0,1,+3,0,0,0-0,1,1
