Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Richard Jefferson,Golden State,0,0,0,2,1-1,3-4,10:42,0,2,+0,5,0,0-0,2,0
Andris Biedrins,Golden State,2,0,0,6,0-0,0-0,13:19,2,3,+0,0,0,0-0,8,0
David Lee,Golden State,0,0,0,6,4-9,2-2,20:49,0,4,+0,10,0,0-0,6,3
Carl Landry,Golden State,1,0,0,4,4-6,5-7,28:23,2,2,+0,13,0,0-0,6,1
Stephen Curry,Golden State,4,0,0,4,8-23,1-1,30:45,3,2,+0,18,1,1-3,7,5
Klay Thompson,Golden State,0,0,0,2,4-14,0-0,34:33,1,3,+0,11,1,3-7,3,2
Jeremy Tyler,Golden State,0,0,0,2,1-2,1-2,4:49,2,0,+0,3,0,0-0,4,1
Charles Jenkins,Golden State,2,0,0,1,0-2,0-0,13:19,0,2,+0,0,0,0-0,1,2
Harrison Barnes,Golden State,0,0,0,1,4-10,2-2,28:31,1,1,+0,12,0,2-3,2,0
Festus Ezeli,Golden State,0,1,0,1,2-3,0-0,11:21,3,1,+0,4,0,0-0,4,1
Draymond Green,Golden State,1,0,0,6,3-8,2-2,23:21,3,3,+0,8,1,0-0,9,0
Kent Bazemore,Golden State,2,0,0,0,3-11,1-4,20:09,0,3,+0,7,1,0-3,0,0
Vince Carter,Dallas,1,0,0,2,1-4,4-6,22:24,0,3,+0,7,1,1-3,2,0
Dirk Nowitzki,Dallas,1,1,0,5,3-12,8-11,25:48,1,2,+0,15,0,1-2,6,0
Elton Brand,Dallas,2,2,0,10,5-9,1-2,29:00,1,3,+0,11,2,0-0,11,1
Shawn Marion,Dallas,1,1,0,10,11-16,2-2,30:04,1,2,+0,26,2,2-3,11,0
Mike James,Dallas,0,0,0,0,0-0,0-0,4:13,0,1,+0,0,0,0-0,0,0
Dahntay Jones,Dallas,0,0,0,1,1-2,4-4,11:02,0,2,+0,6,0,0-0,1,1
Brandan Wright,Dallas,0,0,0,1,1-1,0-0,8:14,0,0,+0,2,0,0-0,1,1
O.J. Mayo,Dallas,9,1,0,3,6-13,5-5,36:06,0,2,+0,19,2,2-4,3,2
Darren Collison,Dallas,8,0,0,3,5-9,5-5,32:52,1,1,+0,18,0,3-4,4,2
Rodrigue Beaubois,Dallas,2,0,0,0,2-3,0-0,10:55,0,3,+0,4,0,0-1,0,1
Dominique Jones,Dallas,1,0,0,1,0-1,0-0,3:14,0,0,+0,0,0,0-0,1,0
Bernard James,Dallas,0,0,0,1,1-2,0-3,12:57,2,4,+0,2,1,0-0,3,1
Jae Crowder,Dallas,0,1,0,1,2-5,0-0,13:11,0,0,+0,6,1,2-3,1,1
