Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Harrison Barnes,Golden State,2,1,2,6,5-16,4-4,36:11,1,3,-24,14,4,0-2,7,3
David Lee,Golden State,0,0,1,2,4-7,3-4,21:43,1,1,-20,11,0,0-0,3,1
Andrew Bogut,Golden State,0,1,0,3,2-3,0-0,18:22,2,5,-18,4,0,0-0,5,0
Klay Thompson,Golden State,1,0,2,3,2-10,1-1,34:59,0,4,-16,5,1,0-4,3,3
Stephen Curry,Golden State,5,0,0,1,5-14,11-11,32:28,0,4,-12,22,3,1-5,1,8
Draymond Green,Golden State,1,0,1,6,0-4,1-2,29:49,2,4,-3,1,0,0-1,8,1
Marreese Speights,Golden State,0,1,2,5,3-9,3-4,21:20,2,1,+1,9,0,0-0,7,1
Jermaine O'Neal,Golden State,0,0,1,3,2-5,1-4,16:54,2,2,+0,5,0,0-0,5,1
Kent Bazemore,Golden State,1,0,0,3,4-6,3-4,16:48,0,2,-6,12,1,1-3,3,2
Nemanja Nedovic,Golden State,0,0,0,1,0-2,0-0,11:26,0,1,-12,0,0,0-1,1,2
Chandler Parsons,Houston,5,0,2,3,3-13,0-0,34:15,1,5,+6,8,3,2-5,4,2
Terrence Jones,Houston,1,3,1,7,7-12,1-2,31:04,3,2,+19,16,3,1-4,10,0
Dwight Howard,Houston,1,1,0,12,5-8,12-20,35:14,6,2,+22,22,3,0-0,18,3
James Harden,Houston,4,1,0,7,13-22,7-9,39:38,0,2,+25,34,1,1-3,7,4
Patrick Beverley,Houston,0,0,0,0,2-6,2-4,32:40,1,4,+13,6,2,0-3,1,3
Francisco Garcia,Houston,1,4,0,6,0-4,0-0,17:37,0,1,+9,0,0,0-3,6,0
Aaron Brooks,Houston,2,0,0,0,3-7,0-0,17:03,1,1,+8,8,1,2-5,1,1
Omri Casspi,Houston,1,0,0,2,1-4,0-0,16:56,0,3,+3,2,1,0-2,2,2
Donatas Motiejunas,Houston,0,0,0,1,3-7,3-4,12:46,2,1,+0,9,0,0-3,3,0
Ronnie Brewer,Houston,0,0,0,0,0-0,0-0,2:47,0,0,+5,0,0,0-0,0,0
