Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Iguodala,Golden State,1,0,2,2,3-9,0-0,23:24,0,1,+2,6,0,0-1,2,0
David Lee,Golden State,2,0,0,4,4-7,3-6,22:19,1,3,-5,11,0,0-0,5,1
Andrew Bogut,Golden State,1,3,1,5,1-3,1-2,22:10,1,4,-1,3,1,0-0,6,0
Klay Thompson,Golden State,2,1,2,4,10-20,2-2,41:14,1,1,+2,25,0,3-5,5,1
Stephen Curry,Golden State,6,0,1,7,7-18,3-3,31:59,1,5,-7,19,2,2-5,8,4
Jermaine O'Neal,Golden State,1,2,0,0,2-6,3-6,30:22,4,3,+7,7,0,0-0,4,1
Harrison Barnes,Golden State,2,0,1,5,3-8,2-2,23:33,0,1,+2,10,0,2-3,5,0
Draymond Green,Golden State,3,0,0,6,4-7,0-0,21:10,1,1,+3,10,1,2-4,7,1
Steve Blake,Golden State,6,0,0,1,0-1,0-0,17:03,1,1,+7,0,0,0-0,2,1
Jordan Crawford,Golden State,0,0,0,0,3-5,0-0,6:46,0,1,+0,7,0,1-2,0,1
Paul George,Indiana,4,1,1,9,8-23,7-8,39:43,3,2,+2,26,1,3-8,12,1
David West,Indiana,2,1,1,4,10-17,7-7,33:33,3,2,+9,27,1,0-0,7,0
Roy Hibbert,Indiana,1,3,1,2,4-7,4-4,34:06,1,3,+7,12,0,0-0,3,2
Lance Stephenson,Indiana,3,1,3,7,6-14,0-0,38:29,2,2,+8,12,2,0-4,9,2
George Hill,Indiana,3,0,0,7,3-9,2-2,35:16,0,3,+7,8,0,0-2,7,1
Evan Turner,Indiana,1,0,0,3,0-5,0-0,17:44,0,2,-14,0,0,0-0,3,0
Luis Scola,Indiana,0,0,0,1,4-7,0-0,14:27,0,2,-11,8,0,0-0,1,1
Ian Mahinmi,Indiana,0,1,0,0,1-2,0-0,13:54,0,2,-9,2,1,0-0,0,0
C.J. Watson,Indiana,2,0,0,1,0-2,1-1,12:48,0,2,-9,1,0,0-2,1,1
