Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Iguodala,Golden State,11,0,0,3,5-8,3-6,42:49,1,1,-7,14,2,1-3,4,3
David Lee,Golden State,2,0,2,3,8-15,6-8,28:51,2,6,-11,22,1,0-0,5,1
Andrew Bogut,Golden State,0,1,0,4,6-7,5-7,28:09,2,5,-5,17,0,0-0,6,1
Stephen Curry,Golden State,9,0,0,3,14-23,1-1,38:29,0,3,-8,38,0,9-14,3,11
Klay Thompson,Golden State,1,0,0,1,3-7,3-3,38:09,0,4,-13,10,2,1-2,1,2
Draymond Green,Golden State,1,0,0,6,1-3,1-4,21:28,2,5,-1,4,2,1-1,8,2
Jermaine O'Neal,Golden State,0,1,2,1,1-6,2-2,15:51,2,3,-6,4,0,0-0,3,1
Marreese Speights,Golden State,0,0,0,1,2-5,2-2,11:41,1,3,+0,6,0,0-0,2,1
Toney Douglas,Golden State,1,0,0,1,0-2,0-0,9:59,0,4,-5,0,0,0-1,1,1
Kent Bazemore,Golden State,1,0,0,0,0-0,0-0,2:57,0,0,+1,0,0,0-0,0,0
Ognjen Kuzmic,Golden State,0,0,0,0,0-0,0-0,0:49,0,1,+0,0,0,0-0,0,1
Nemanja Nedovic,Golden State,0,0,0,0,0-0,0-0,0:49,0,0,+0,0,0,0-0,0,0
Blake Griffin,LA Clippers,2,1,0,10,9-12,5-8,34:13,0,6,+18,23,2,0-1,10,3
Jared Dudley,LA Clippers,2,0,0,0,4-6,0-0,32:57,1,5,+3,10,2,2-4,1,2
DeAndre Jordan,LA Clippers,1,1,1,7,3-9,3-12,41:06,10,2,+11,9,2,0-0,17,0
Chris Paul,LA Clippers,15,0,0,1,12-20,16-17,37:26,1,4,+17,42,6,2-6,2,6
J.J. Redick,LA Clippers,2,0,0,4,5-11,4-4,28:07,1,4,+15,17,0,3-7,5,0
Jamal Crawford,LA Clippers,1,0,0,1,7-14,1-2,23:23,0,1,-1,17,1,2-5,1,4
Matt Barnes,LA Clippers,2,0,1,2,0-4,4-4,17:58,1,3,+8,4,0,0-1,3,1
Darren Collison,LA Clippers,1,0,0,1,0-3,0-1,11:13,1,1,-8,0,0,0-0,2,1
Byron Mullens,LA Clippers,1,1,0,1,0-4,0-2,8:58,1,3,-10,0,1,0-4,2,1
Ryan Hollins,LA Clippers,0,1,0,1,2-2,0-0,4:22,0,1,+2,4,1,0-0,1,0
Reggie Bullock,LA Clippers,0,0,0,0,0-0,0-0,0:18,0,0,+0,0,0,0-0,0,0
