Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andris Biedrins,Golden State,1,1,0,1,0-0,0-0,8:42,1,5,+0,0,1,0-0,2,1
Jarrett Jack,Golden State,5,0,0,7,3-9,0-0,27:31,1,3,+0,6,0,0-4,8,3
David Lee,Golden State,2,1,0,6,8-12,3-4,42:43,2,4,+0,19,1,0-0,8,0
Carl Landry,Golden State,1,1,0,3,5-12,1-2,28:24,2,5,+0,11,0,0-0,5,2
Stephen Curry,Golden State,9,0,0,3,17-31,4-4,44:17,3,3,+0,47,3,9-15,6,1
Klay Thompson,Golden State,7,0,0,2,10-24,3-4,43:02,0,5,+0,25,2,2-7,2,1
Harrison Barnes,Golden State,0,0,0,4,1-6,2-2,29:05,2,2,+0,4,0,0-0,6,0
Festus Ezeli,Golden State,0,1,0,3,2-3,0-0,16:16,4,6,+0,4,0,0-0,7,0
Kobe Bryant,LA Lakers,4,0,0,5,9-21,12-16,44:54,0,3,+0,34,0,4-8,5,5
Antawn Jamison,LA Lakers,0,0,0,1,0-4,0-0,10:53,1,1,+0,0,1,0-1,2,0
Metta World Peace,LA Lakers,0,0,0,6,2-5,2-2,24:09,0,2,+0,7,0,1-3,6,0
Pau Gasol,LA Lakers,10,0,0,10,9-13,8-8,37:27,1,0,+0,26,0,0-0,11,5
Steve Blake,LA Lakers,5,0,0,3,4-9,2-2,36:40,0,4,+0,14,0,4-8,3,0
Dwight Howard,LA Lakers,1,1,0,6,7-8,14-22,38:04,1,5,+0,28,0,0-0,7,2
Earl Clark,LA Lakers,0,1,0,0,2-3,0-0,25:57,0,0,+0,6,1,2-3,0,0
Jodie Meeks,LA Lakers,2,0,0,2,1-3,0-0,21:56,0,2,+0,3,0,1-2,2,0
