Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David Lee,Golden State,0,1,2,7,10-21,3-4,38:57,4,1,+17,23,3,0-0,11,0
Harrison Barnes,Golden State,0,0,1,4,4-10,0-0,35:35,0,1,+24,9,0,1-2,4,3
Andrew Bogut,Golden State,1,2,1,5,4-8,0-0,27:08,7,2,+12,8,1,0-0,12,2
Stephen Curry,Golden State,15,1,0,5,7-16,6-7,45:21,1,4,+21,22,0,2-7,6,1
Klay Thompson,Golden State,5,0,2,3,12-19,3-3,37:52,0,2,+20,30,2,3-5,3,2
Draymond Green,Golden State,1,0,0,5,2-5,0-0,21:07,0,4,+14,5,0,1-3,5,1
Jermaine O'Neal,Golden State,0,1,0,1,1-2,0-0,16:58,1,4,+4,2,0,0-0,2,1
Marreese Speights,Golden State,1,0,0,2,3-5,0-0,10:14,2,2,+14,6,0,0-0,4,0
Kent Bazemore,Golden State,0,0,0,0,0-1,0-0,3:26,0,0,+2,0,0,0-0,0,0
Nemanja Nedovic,Golden State,1,0,0,0,1-1,0-0,3:22,0,0,+2,3,0,1-1,0,0
Zach Randolph,Memphis,4,1,1,5,6-13,3-4,33:43,1,3,-26,15,1,0-1,6,0
Tayshaun Prince,Memphis,0,0,0,1,2-7,0-0,19:42,1,0,-15,4,1,0-0,2,1
Kosta Koufos,Memphis,1,2,1,7,4-13,2-2,32:35,9,2,-13,10,1,0-0,16,2
Mike Conley,Memphis,2,1,2,0,4-12,4-4,30:29,0,1,-8,12,1,0-0,0,2
Quincy Pondexter,Memphis,1,0,0,0,1-3,2-2,12:53,1,1,-7,4,0,0-2,1,0
Jon Leuer,Memphis,0,0,0,4,6-11,3-4,29:38,2,0,-13,15,2,0-2,6,1
Mike Miller,Memphis,1,0,0,4,7-9,0-0,28:18,1,0,-11,16,0,2-3,5,1
Jerryd Bayless,Memphis,2,2,1,0,0-11,2-2,24:17,1,1,-6,2,2,0-2,1,0
Nick Calathes,Memphis,2,0,0,1,1-4,2-4,23:08,1,2,-25,4,0,0-0,2,1
Jamaal Franklin,Memphis,0,0,0,1,0-2,0-0,5:17,0,0,-6,0,0,0-0,1,0
