Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Iguodala,Golden State,6,0,0,2,8-13,3-6,41:39,1,5,+11,20,3,1-3,3,3
David Lee,Golden State,1,1,1,13,10-16,2-2,35:47,2,4,+11,22,2,0-0,15,5
Andrew Bogut,Golden State,4,2,0,5,1-2,0-0,16:18,0,6,+4,2,0,0-0,5,3
Klay Thompson,Golden State,1,2,2,2,11-21,2-2,37:18,0,4,+8,30,1,6-9,2,0
Stephen Curry,Golden State,7,0,0,1,2-8,1-2,24:11,0,1,+3,5,1,0-3,1,1
Jermaine O'Neal,Golden State,1,3,0,5,1-4,3-4,24:58,1,2,+6,5,1,0-0,6,1
Draymond Green,Golden State,1,1,0,5,0-3,0-0,17:07,1,2,+11,0,1,0-2,6,3
Marreese Speights,Golden State,1,1,0,4,3-7,1-2,15:34,4,2,+6,8,0,1-2,8,2
Harrison Barnes,Golden State,1,1,0,2,6-8,2-2,13:53,0,1,+10,14,2,0-0,2,2
Toney Douglas,Golden State,0,0,0,1,0-2,0-0,8:51,0,1,+4,0,0,0-1,1,1
Kent Bazemore,Golden State,0,0,0,0,0-0,0-0,1:30,0,0,-3,0,1,0-0,0,0
Ognjen Kuzmic,Golden State,0,0,0,0,0-0,0-0,1:27,0,1,-3,0,0,0-0,0,0
Nemanja Nedovic,Golden State,0,0,0,0,0-0,0-0,1:27,0,0,-3,0,0,0-0,0,0
Kevin Love,Minnesota,6,1,0,9,10-25,4-4,37:44,7,0,-2,25,2,1-4,16,3
Corey Brewer,Minnesota,0,0,1,1,7-14,3-3,33:19,0,5,-2,18,0,1-2,1,1
Nikola Pekovic,Minnesota,3,0,5,5,4-11,2-3,37:27,2,3,-9,10,0,0-0,7,2
Kevin Martin,Minnesota,2,0,0,3,7-15,7-8,37:53,0,2,-8,23,2,2-5,3,3
Ricky Rubio,Minnesota,7,0,0,3,2-8,3-5,32:59,1,3,-2,7,1,0-1,4,4
Derrick Williams,Minnesota,0,0,2,2,0-6,0-0,18:58,0,1,-12,0,1,0-3,2,0
J.J. Barea,Minnesota,3,0,1,2,2-6,1-2,13:34,0,1,-14,5,0,0-1,2,3
Dante Cunningham,Minnesota,0,0,0,1,1-2,0-0,13:05,0,1,-14,2,0,0-0,1,1
Gorgui Dieng,Minnesota,1,2,0,1,0-0,1-2,6:17,0,3,-4,1,0,0-0,1,1
Alexey Shved,Minnesota,0,0,2,2,0-2,0-0,4:23,0,0,-7,0,0,0-0,2,0
Robbie Hummel,Minnesota,0,0,0,0,0-0,0-0,1:27,0,0,+3,0,0,0-0,0,0
Shabazz Muhammad,Minnesota,0,0,0,1,1-1,0-0,1:27,0,0,+3,2,0,0-0,1,0
A.J. Price,Minnesota,0,0,0,0,0-0,0-0,1:27,0,0,+3,0,0,0-0,0,1
