Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andre Iguodala,Golden State,3,2,0,3,3-7,2-2,35:50,0,1,+18,8,1,0-1,3,2
David Lee,Golden State,1,2,4,6,9-19,4-4,34:46,2,3,+17,22,0,0-0,8,0
Andrew Bogut,Golden State,2,5,0,10,5-5,0-0,33:44,5,5,+12,10,0,0-0,15,2
Stephen Curry,Golden State,8,0,0,5,10-22,6-6,37:49,1,2,+15,28,4,2-9,6,0
Klay Thompson,Golden State,1,0,0,2,3-14,0-0,36:38,0,1,+14,8,2,2-7,2,1
Harrison Barnes,Golden State,1,0,1,2,0-4,0-0,17:31,0,3,-7,0,0,0-1,2,1
Draymond Green,Golden State,0,1,0,3,1-1,2-4,15:44,0,3,-2,4,0,0-0,3,0
Jordan Crawford,Golden State,1,0,0,0,4-6,0-0,13:29,2,0,-9,10,0,2-3,2,2
Marreese Speights,Golden State,0,1,0,2,2-5,3-3,11:01,0,2,-9,7,0,0-0,2,0
Kent Bazemore,Golden State,0,0,0,0,0-1,0-0,3:12,0,0,+1,0,0,0-1,0,0
MarShon Brooks,Golden State,0,0,0,0,0-0,0-0,0:16,0,0,+0,0,0,0-0,0,0
Anthony Davis,New Orleans,1,1,0,13,11-17,9-12,43:01,4,5,-9,31,0,0-0,17,4
Al-Farouq Aminu,New Orleans,1,1,4,5,5-12,2-4,33:07,4,1,-13,12,0,0-0,9,0
Greg Stiemsma,New Orleans,0,1,0,2,1-4,0-0,12:21,0,1,+3,2,0,0-0,2,0
Brian Roberts,New Orleans,5,0,0,3,3-7,2-3,34:52,0,2,-6,9,0,1-2,3,1
Eric Gordon,New Orleans,6,0,3,3,3-17,2-2,32:38,2,3,-15,8,2,0-6,5,3
Tyreke Evans,New Orleans,2,0,4,3,6-14,2-2,30:45,1,1,-2,14,1,0-0,4,4
Darius Miller,New Orleans,1,0,0,0,2-4,1-1,15:03,1,0,+0,6,1,1-3,1,0
Jeff Withey,New Orleans,0,1,0,1,1-3,1-2,14:07,1,1,-9,3,0,0-0,2,0
Austin Rivers,New Orleans,2,0,0,0,0-4,0-0,12:30,0,1,+5,0,0,0-0,0,1
Alexis Ajinca,New Orleans,0,1,0,2,0-1,2-2,11:36,2,2,-4,2,0,0-0,4,0
