Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Richard Jefferson,Golden State,0,0,0,1,3-4,1-1,11:43,0,0,+0,9,0,2-2,1,1
Andris Biedrins,Golden State,0,3,0,5,1-1,0-0,12:02,2,0,+0,2,0,0-0,7,0
David Lee,Golden State,6,1,0,6,5-13,2-4,33:28,5,1,+0,12,2,0-0,11,4
Carl Landry,Golden State,1,0,0,6,4-13,1-1,26:45,2,2,+0,9,1,0-0,8,2
Stephen Curry,Golden State,11,0,0,5,5-20,2-2,36:08,3,3,+0,14,1,2-7,8,6
Klay Thompson,Golden State,2,0,0,3,8-16,0-0,33:39,0,3,+0,19,1,3-6,3,2
Jeremy Tyler,Golden State,0,0,0,0,0-2,0-0,4:18,0,1,+0,0,0,0-0,0,1
Charles Jenkins,Golden State,2,0,0,1,0-2,1-2,8:13,0,1,+0,1,0,0-0,1,0
Harrison Barnes,Golden State,0,0,0,0,7-9,3-4,28:43,0,0,+0,19,1,2-2,0,0
Festus Ezeli,Golden State,0,0,0,2,1-3,0-0,12:36,0,1,+0,2,0,0-0,2,0
Draymond Green,Golden State,1,0,0,5,0-2,0-0,16:40,1,1,+0,0,1,0-0,6,0
Kent Bazemore,Golden State,2,0,0,2,4-8,2-2,15:46,0,2,+0,11,0,1-3,2,3
Nick Collison,Oklahoma City,0,0,0,4,4-5,0-0,22:47,1,1,+0,8,1,0-0,5,0
Kendrick Perkins,Oklahoma City,2,2,0,9,3-6,0-0,22:47,2,3,+0,6,0,0-0,11,1
Kevin Martin,Oklahoma City,4,0,0,1,8-16,2-2,26:16,0,1,+0,21,2,3-6,1,3
Thabo Sefolosha,Oklahoma City,2,2,0,6,2-8,0-0,29:59,1,2,+0,6,1,2-6,7,1
Kevin Durant,Oklahoma City,4,2,0,6,10-18,3-4,31:09,1,1,+0,25,2,2-3,7,5
Russell Westbrook,Oklahoma City,5,1,0,3,8-19,6-8,29:37,0,0,+0,22,4,0-3,3,2
Serge Ibaka,Oklahoma City,4,6,0,4,7-10,0-0,32:00,5,2,+0,15,0,1-1,9,0
Hasheem Thabeet,Oklahoma City,0,2,0,0,1-2,0-0,10:59,0,2,+0,2,0,0-0,0,0
Eric Maynor,Oklahoma City,0,0,0,0,0-0,0-0,4:18,0,0,+0,0,0,0-0,0,0
Reggie Jackson,Oklahoma City,6,1,0,3,4-7,4-4,19:14,0,0,+0,12,1,0-3,3,0
DeAndre Liggins,Oklahoma City,1,0,0,1,1-1,0-2,4:18,0,0,+0,2,1,0-0,1,0
Perry Jones,Oklahoma City,1,0,0,3,0-3,0-0,6:36,0,0,+0,0,0,0-1,3,0
