Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Richard Jefferson,Golden State,0,0,0,1,1-1,2-2,6:45,0,1,+0,4,0,0-0,1,1
Andrew Bogut,Golden State,3,2,0,5,1-8,0-0,17:17,3,2,+0,2,0,0-0,8,2
Jarrett Jack,Golden State,5,0,0,4,6-10,2-3,34:26,1,1,+0,14,0,0-1,5,1
David Lee,Golden State,1,0,0,10,9-12,2-3,31:48,0,2,+0,20,3,0-0,10,1
Carl Landry,Golden State,1,0,0,6,5-11,0-0,29:19,3,1,+0,10,0,0-0,9,2
Stephen Curry,Golden State,5,0,0,1,5-16,1-1,31:41,1,2,+0,15,3,4-11,2,1
Klay Thompson,Golden State,0,0,0,3,9-19,1-2,38:17,0,4,+0,24,1,5-7,3,2
Harrison Barnes,Golden State,3,0,0,8,3-10,2-2,30:11,2,1,+0,8,0,0-1,10,1
Festus Ezeli,Golden State,2,1,0,0,1-4,0-0,16:25,4,2,+0,2,0,0-0,4,1
Kent Bazemore,Golden State,1,0,0,0,0-2,0-0,3:51,0,1,+0,0,0,0-1,0,0
Sasha Pavlovic,Portland,0,0,0,1,2-6,0-0,13:39,0,0,+0,6,0,2-2,1,0
LaMarcus Aldridge,Portland,1,3,0,17,12-23,6-6,32:06,4,1,+0,30,0,0-0,21,2
Joel Freeland,Portland,1,0,0,2,3-7,1-2,15:54,0,3,+0,7,0,0-0,2,2
J.J. Hickson,Portland,0,0,0,3,1-3,0-0,22:06,1,1,+0,2,1,0-0,4,2
Eric Maynor,Portland,6,0,0,0,0-1,0-0,10:24,0,1,+0,0,0,0-0,0,1
Victor Claver,Portland,3,0,0,3,0-4,0-0,34:21,0,1,+0,0,0,0-2,3,1
Damian Lillard,Portland,3,0,0,1,7-13,5-6,37:36,0,2,+0,21,1,2-5,1,2
Meyers Leonard,Portland,0,2,0,3,3-6,0-0,25:54,0,3,+0,7,0,1-1,3,1
Will Barton,Portland,4,0,0,6,7-19,0-0,48:00,1,1,+0,15,0,1-2,7,3
