Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David Lee,Golden State,3,0,1,9,5-13,3-4,36:06,1,3,+3,13,0,0-0,10,3
Harrison Barnes,Golden State,1,0,1,2,2-6,0-0,21:10,0,2,-10,5,0,1-3,2,0
Andrew Bogut,Golden State,5,0,0,9,3-7,0-0,32:14,4,5,-3,6,0,0-0,13,3
Andre Iguodala,Golden State,2,0,0,6,4-7,1-2,44:03,0,0,+3,9,4,0-2,6,6
Klay Thompson,Golden State,2,1,1,1,5-16,0-0,39:27,0,4,-1,11,3,1-5,1,3
Toney Douglas,Golden State,1,0,0,2,8-14,0-0,27:48,0,2,+2,21,0,5-9,2,0
Jermaine O'Neal,Golden State,1,1,0,6,0-4,2-2,15:47,1,2,+1,2,0,0-0,7,2
Draymond Green,Golden State,1,2,0,2,2-2,0-0,14:59,0,0,-1,5,0,1-1,2,0
Marreese Speights,Golden State,0,0,0,2,0-2,2-2,8:26,0,2,-4,2,0,0-0,2,2
Tim Duncan,San Antonio,5,2,0,3,3-11,2-2,32:07,1,2,+3,8,1,0-0,4,3
Kawhi Leonard,San Antonio,2,0,0,5,6-8,0-1,30:52,2,1,+0,13,4,1-2,7,0
Tiago Splitter,San Antonio,1,0,0,3,2-5,0-0,25:34,5,2,+7,4,1,0-0,8,1
Tony Parker,San Antonio,4,0,1,5,7-14,4-10,33:28,0,1,+2,18,1,0-1,5,2
Danny Green,San Antonio,1,0,0,5,1-6,0-0,28:20,1,0,+14,3,0,1-5,6,0
Manu Ginobili,San Antonio,2,1,0,2,3-11,0-0,21:53,1,2,-4,6,0,0-5,3,2
Marco Belinelli,San Antonio,0,0,1,2,1-4,0-0,18:52,0,1,-1,3,1,1-3,2,0
Aron Baynes,San Antonio,0,0,1,5,2-7,1-2,15:53,1,5,-1,5,0,0-0,6,2
Boris Diaw,San Antonio,1,0,0,0,4-8,0-1,15:30,0,3,-9,8,0,0-1,0,0
Patty Mills,San Antonio,1,0,0,0,2-4,0-0,11:02,0,0,-5,6,1,2-2,0,0
Jeff Ayres,San Antonio,2,0,1,1,0-1,2-2,6:29,0,1,+4,2,0,0-0,1,2
