Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David Lee,Golden State,1,0,0,6,3-10,4-6,24:21,1,1,+0,10,0,0-0,7,1
Klay Thompson,Golden State,2,1,0,1,2-8,0-0,22:45,0,3,+0,5,0,1-4,1,2
Andrew Bogut,Golden State,1,0,0,8,3-7,0-0,22:42,2,3,+0,6,1,0-0,10,1
Andre Iguodala,Golden State,1,0,0,1,3-6,2-6,30:09,0,1,+0,9,3,1-3,1,3
Stephen Curry,Golden State,3,0,0,4,4-14,0-0,20:56,0,1,+0,10,0,2-4,4,0
Draymond Green,Golden State,0,0,0,2,2-6,0-0,22:29,0,2,+0,6,1,2-3,2,1
Toney Douglas,Golden State,2,0,0,0,2-6,2-2,17:31,0,2,+0,7,0,1-4,0,0
Marreese Speights,Golden State,0,0,0,2,6-12,1-2,17:23,4,4,+0,13,0,0-0,6,2
Kent Bazemore,Golden State,1,0,0,0,0-3,0-0,12:50,0,2,+0,0,0,0-0,0,1
Dewayne Dedmon,Golden State,1,2,0,4,1-4,0-0,12:36,0,1,+0,2,2,0-0,4,0
Seth Curry,Golden State,1,0,0,0,2-5,0-0,9:52,0,1,+0,5,0,1-2,0,0
Cameron Jones,Golden State,0,0,0,1,0-3,0-0,9:48,1,0,+0,0,0,0-1,2,0
Ognjen Kuzmic,Golden State,0,2,0,3,0-3,0-0,9:31,1,0,+0,0,0,0-0,4,0
Nemanja Nedovic,Golden State,2,0,0,0,1-2,2-2,7:07,0,0,+0,5,0,1-2,0,1
Derrick Favors,Utah,1,3,0,12,4-11,2-2,25:28,2,2,+0,10,0,0-0,14,1
Richard Jefferson,Utah,0,1,0,1,2-5,0-0,21:55,0,1,+0,4,0,0-2,1,1
Enes Kanter,Utah,1,1,0,3,4-5,2-3,20:21,1,2,+0,10,0,0-0,4,3
Trey Burke,Utah,3,0,0,2,5-14,0-0,26:01,0,1,+0,12,0,2-4,2,1
Gordon Hayward,Utah,8,0,0,7,4-12,0-0,26:01,0,1,+0,8,3,0-0,7,1
Jeremy Evans,Utah,0,1,0,9,6-11,0-0,24:43,4,2,+0,12,0,0-0,13,1
Alec Burks,Utah,4,0,0,1,6-10,2-3,21:30,2,1,+0,14,1,0-0,3,3
John Lucas III,Utah,1,0,0,1,5-9,4-4,18:29,2,1,+0,16,0,2-2,3,1
Dominic McGuire,Utah,2,1,0,3,2-6,0-0,17:05,1,3,+0,4,1,0-1,4,1
Rudy Gobert,Utah,0,1,0,5,0-1,0-0,12:00,0,4,+0,0,0,0-0,5,1
Andris Biedrins,Utah,1,0,0,1,1-1,0-0,8:16,1,2,+0,2,0,0-0,2,1
Ian Clark,Utah,0,0,0,0,1-3,0-0,4:54,0,0,+0,2,0,0-1,0,0
Mike Harris,Utah,0,0,0,3,1-2,2-2,4:54,0,0,+0,4,0,0-0,3,0
Justin Holiday,Utah,1,0,0,1,1-1,0-2,4:54,0,0,+0,3,0,1-1,1,1
Scott Machado,Utah,1,0,0,0,0-0,0-0,3:30,0,0,+0,0,0,0-0,0,0
