Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,4,0,3,7,5-13,2-2,39:07,0,3,+14,14,1,2-3,7,1
Terrence Jones,Houston,0,3,1,7,6-11,0-2,36:39,5,2,+18,12,2,0-0,12,1
Dwight Howard,Houston,2,1,1,8,11-17,10-18,36:50,3,2,+8,32,0,0-1,11,2
James Harden,Houston,3,3,1,6,6-18,2-2,38:23,1,2,+12,16,0,2-6,7,3
Jeremy Lin,Houston,9,0,1,1,5-7,5-6,35:24,0,3,+4,16,3,1-2,1,1
Omri Casspi,Houston,3,0,0,6,4-9,1-2,22:31,0,3,-2,12,0,3-5,6,3
Aaron Brooks,Houston,3,0,0,0,0-2,2-2,15:07,0,1,+2,2,0,0-1,0,0
Francisco Garcia,Houston,0,1,0,1,0-2,0-0,11:15,1,0,+8,0,0,0-1,2,0
Ronnie Brewer,Houston,0,1,0,0,0-0,0-0,4:44,0,0,-4,0,0,0-0,0,0
Jeff Green,Boston,0,0,2,6,2-10,0-0,27:43,0,1,-12,4,0,0-1,6,4
Jared Sullinger,Boston,1,1,2,4,3-11,2-2,22:35,6,5,-9,8,0,0-3,10,1
Kris Humphries,Boston,2,3,1,6,2-7,0-0,20:50,2,1,-15,4,0,0-0,8,1
Avery Bradley,Boston,3,1,2,5,11-21,0-0,33:54,0,2,-10,24,3,2-7,5,1
Jordan Crawford,Boston,5,0,0,0,3-11,7-7,24:37,0,4,-11,13,0,0-3,0,1
Brandon Bass,Boston,0,0,2,4,6-15,2-3,25:14,3,4,+8,14,0,0-0,7,1
Jerryd Bayless,Boston,4,1,0,1,7-13,2-2,23:31,0,0,+1,17,2,1-1,1,2
Kelly Olynyk,Boston,0,0,0,3,2-5,0-0,21:46,4,4,-9,4,2,0-0,7,0
Gerald Wallace,Boston,1,1,0,1,1-2,0-0,19:56,0,1,-2,2,0,0-1,1,1
MarShon Brooks,Boston,1,0,0,5,1-4,0-0,12:00,0,2,+7,2,0,0-1,5,0
Vitor Faverani,Boston,0,0,0,0,0-0,0-0,4:25,0,1,-1,0,1,0-0,0,0
Phil Pressey,Boston,0,0,0,0,0-2,0-0,3:29,0,1,-7,0,0,0-0,0,1
