Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,1,0,0,1,1-11,0-0,25:48,1,3,-20,2,0,0-2,2,3
Terrence Jones,Houston,1,0,1,6,1-7,0-0,19:44,3,1,-22,2,2,0-1,9,0
Dwight Howard,Houston,1,4,0,5,5-7,2-2,28:35,5,2,-28,12,0,0-0,10,7
Patrick Beverley,Houston,3,0,1,1,3-9,3-4,29:36,2,3,-31,9,0,0-4,3,0
James Harden,Houston,2,1,0,2,2-7,3-4,26:36,0,3,-30,8,0,1-5,2,5
Jeremy Lin,Houston,3,0,0,1,7-13,6-6,23:53,1,1,+6,21,0,1-2,2,0
Omer Asik,Houston,0,0,1,1,2-3,2-4,19:25,3,1,+4,6,0,0-0,4,0
Jordan Hamilton,Houston,1,0,0,7,3-7,4-4,18:20,0,0,-2,12,0,2-5,7,1
Donatas Motiejunas,Houston,1,0,0,4,1-5,0-2,17:11,1,2,+0,2,0,0-2,5,0
Francisco Garcia,Houston,1,0,0,1,2-4,0-0,13:03,0,3,+3,5,1,1-2,1,0
Omri Casspi,Houston,1,0,0,1,0-1,4-6,9:37,1,1,+0,4,0,0-1,2,0
Isaiah Canaan,Houston,1,0,1,0,1-5,2-2,8:12,2,1,+0,4,0,0-2,2,0
Mike Dunleavy,Chicago,2,0,0,4,8-15,1-1,36:58,3,1,+16,21,1,4-6,7,1
Carlos Boozer,Chicago,3,0,3,5,9-19,0-0,33:18,2,2,+25,18,0,0-0,7,0
Joakim Noah,Chicago,9,0,0,6,3-6,7-7,35:10,4,5,+24,13,2,0-0,10,1
Kirk Hinrich,Chicago,4,1,1,1,7-12,0-0,30:19,0,1,+31,19,2,5-6,1,0
Jimmy Butler,Chicago,5,0,0,2,4-8,2-2,27:33,0,3,+25,11,2,1-1,2,1
D.J. Augustin,Chicago,8,0,0,1,5-9,0-1,29:17,0,5,-5,13,1,3-7,1,1
Taj Gibson,Chicago,0,2,0,4,2-7,1-2,18:01,0,3,-9,5,0,0-0,4,3
Tony Snell,Chicago,1,0,1,2,2-5,0-0,14:46,0,0,+1,4,0,0-2,2,0
Nazr Mohammed,Chicago,1,1,0,4,1-1,0-0,7:14,1,0,+5,2,0,0-0,5,0
Jimmer Fredette,Chicago,0,0,0,0,1-3,0-0,3:31,0,2,+3,3,0,1-2,0,0
Erik Murphy,Chicago,1,0,0,0,1-1,0-0,2:17,0,1,+3,2,0,0-0,0,0
Tornike Shengelia,Chicago,1,0,0,0,0-0,0-0,1:36,0,1,+1,0,0,0-0,0,0
