Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,2,0,0,3,3-6,1-1,27:34,0,2,+0,9,1,2-5,3,2
Omer Asik,Houston,1,2,0,3,2-4,2-4,21:18,3,4,+0,6,0,0-0,6,0
James Harden,Houston,3,1,0,2,6-17,14-15,37:56,0,3,+0,29,7,3-9,2,5
Toney Douglas,Houston,2,0,0,0,2-5,1-2,14:50,1,1,+0,6,0,1-2,1,1
Patrick Patterson,Houston,2,1,0,5,7-13,0-0,26:14,1,3,+0,15,0,1-4,6,1
Jeremy Lin,Houston,5,0,0,4,7-13,3-5,38:13,0,5,+0,20,1,3-5,4,4
Marcus Morris,Houston,3,0,0,3,4-8,2-2,21:46,2,0,+0,11,1,1-4,5,1
Chandler Parsons,Houston,3,0,0,4,1-8,2-2,25:57,1,0,+0,5,0,1-5,5,3
Greg Smith,Houston,2,0,0,7,5-5,1-5,26:12,4,5,+0,11,1,0-0,11,0
Luke Walton,Cleveland,1,0,0,0,1-3,0-0,9:36,2,1,+0,2,0,0-0,2,0
Shaun Livingston,Cleveland,3,1,0,0,0-3,0-0,16:40,0,3,+0,0,1,0-0,0,0
C.J. Miles,Cleveland,1,0,0,2,4-14,0-0,25:52,1,4,+0,9,1,1-6,3,0
Alonzo Gee,Cleveland,1,0,0,5,6-12,4-4,31:30,1,6,+0,18,1,2-4,6,1
Kyrie Irving,Cleveland,6,0,0,3,10-24,7-8,41:08,1,2,+0,30,4,3-8,4,8
Tristan Thompson,Cleveland,2,1,0,8,5-11,4-6,37:07,8,3,+0,14,1,0-0,16,1
Dion Waiters,Cleveland,1,0,0,4,4-13,4-4,28:50,1,2,+0,13,0,1-5,5,3
Tyler Zeller,Cleveland,5,1,0,4,4-9,4-4,37:04,1,3,+0,12,3,0-0,5,0
Kevin Jones,Cleveland,0,0,0,1,2-2,2-2,12:13,2,1,+0,6,0,0-0,3,0
