Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,0,0,0,6,4-9,0-0,21:15,0,4,+0,11,0,3-7,6,1
Francisco Garcia,Houston,2,1,0,2,2-6,2-2,22:13,0,1,+0,7,1,1-4,2,1
Omer Asik,Houston,0,0,0,11,4-5,4-11,22:40,4,3,+0,12,0,0-0,15,1
James Harden,Houston,9,0,0,3,5-17,16-16,39:00,1,3,+0,28,2,2-7,4,2
Patrick Beverley,Houston,7,1,0,1,0-2,0-0,23:23,2,2,+0,0,1,0-0,3,2
Jeremy Lin,Houston,3,0,0,1,5-10,1-1,24:37,0,0,+0,12,0,1-2,1,3
Donatas Motiejunas,Houston,0,0,0,1,3-8,1-1,16:14,0,1,+0,7,0,0-4,1,1
Chandler Parsons,Houston,1,1,0,4,8-15,2-2,42:39,0,2,+0,23,0,5-8,4,1
Thomas Robinson,Houston,0,2,0,3,4-6,0-0,27:59,1,2,+0,8,1,0-0,4,0
Vince Carter,Dallas,2,0,0,7,5-9,3-3,30:14,0,3,+0,16,2,3-6,7,2
Dirk Nowitzki,Dallas,3,1,0,3,9-16,3-3,32:48,2,5,+0,22,0,1-2,5,1
Elton Brand,Dallas,0,1,0,2,4-5,1-1,18:26,1,1,+0,9,0,0-0,3,0
Shawn Marion,Dallas,4,0,0,3,10-16,2-5,35:54,0,4,+0,22,2,0-2,3,1
Mike James,Dallas,6,0,0,2,3-8,0-0,24:59,1,4,+0,8,0,2-5,3,1
Brandan Wright,Dallas,1,1,0,1,6-7,0-0,27:21,1,2,+0,12,1,0-0,2,2
O.J. Mayo,Dallas,12,0,0,6,5-10,0-0,32:59,0,2,+0,13,0,3-4,6,0
Darren Collison,Dallas,5,0,0,2,2-6,2-2,23:01,0,0,+0,7,0,1-4,2,3
Jae Crowder,Dallas,2,0,0,2,1-6,0-0,14:18,0,1,+0,3,0,1-3,2,1
