Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,4,1,1,2,6-13,1-2,35:51,0,1,-25,14,2,1-3,2,3
Dwight Howard,Houston,0,1,2,7,4-9,5-10,25:49,2,4,-24,13,0,0-0,9,2
Omer Asik,Houston,0,0,0,5,1-1,4-4,23:42,2,3,-18,6,0,0-0,7,2
James Harden,Houston,5,0,1,1,6-16,3-5,32:48,1,2,-11,15,0,0-7,2,2
Jeremy Lin,Houston,8,0,0,2,4-8,5-6,30:29,0,5,-27,14,1,1-2,2,1
Omri Casspi,Houston,4,0,1,7,6-12,4-5,28:06,2,3,+4,19,2,3-6,9,4
Francisco Garcia,Houston,0,0,0,1,5-9,2-2,21:18,1,1,-8,14,0,2-6,2,0
Aaron Brooks,Houston,0,1,1,4,3-5,3-4,17:31,0,2,+8,9,1,0-0,4,0
Greg Smith,Houston,0,0,0,2,6-6,0-1,11:03,5,1,+6,12,0,0-0,7,1
Ronnie Brewer,Houston,0,0,0,2,0-0,0-2,4:38,0,0,+0,0,1,0-0,2,0
Donatas Motiejunas,Houston,0,0,0,0,0-1,0-0,4:38,0,0,+0,0,0,0-1,0,0
Terrence Jones,Houston,0,0,1,0,0-2,2-2,4:07,0,0,+0,2,0,0-0,0,0
Jared Dudley,LA Clippers,0,0,2,3,6-11,0-0,33:51,0,2,+7,15,0,3-6,3,1
Blake Griffin,LA Clippers,2,1,0,5,8-13,2-4,31:45,2,5,+30,18,1,0-0,7,2
DeAndre Jordan,LA Clippers,0,1,0,8,4-5,3-5,29:33,1,5,+24,11,0,0-0,9,0
Chris Paul,LA Clippers,17,0,0,3,7-13,8-8,33:17,0,2,+27,23,2,1-3,3,2
J.J. Redick,LA Clippers,3,1,0,0,8-15,8-8,27:50,3,5,+25,26,2,2-7,3,0
Jamal Crawford,LA Clippers,4,0,0,2,7-15,1-1,30:12,1,2,+6,21,0,6-11,3,0
Byron Mullens,LA Clippers,0,1,0,4,5-6,0-0,15:00,0,5,-3,12,2,2-3,4,1
Matt Barnes,LA Clippers,2,0,0,2,1-3,0-0,14:57,1,2,-11,2,0,0-2,3,2
Darren Collison,LA Clippers,4,3,1,2,2-10,2-2,14:43,1,1,-8,7,0,1-5,3,2
Ryan Hollins,LA Clippers,0,0,0,0,1-1,0-0,4:45,0,0,-2,2,0,0-0,0,0
Reggie Bullock,LA Clippers,1,0,0,0,0-2,0-0,4:07,0,0,+0,0,0,0-1,0,0
