Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,2,0,0,4,8-14,0-0,30:58,1,1,+28,18,2,2-3,5,2
Terrence Jones,Houston,0,0,2,3,4-8,2-6,20:31,2,1,+19,11,0,1-1,5,1
Dwight Howard,Houston,1,3,0,7,9-14,2-6,28:25,6,0,+20,20,2,0-0,13,4
James Harden,Houston,11,1,2,5,10-18,4-6,32:05,1,3,+23,29,4,5-7,6,1
Patrick Beverley,Houston,5,0,0,2,4-9,0-0,29:20,1,2,+29,10,3,2-6,3,0
Omer Asik,Houston,1,0,0,7,3-6,1-2,23:10,5,1,+6,7,0,0-0,12,0
Jeremy Lin,Houston,2,0,1,2,3-11,1-2,20:57,1,2,+4,9,1,2-6,3,4
Donatas Motiejunas,Houston,1,1,0,3,5-11,0-1,18:50,2,0,+13,12,2,2-4,5,1
Francisco Garcia,Houston,2,0,0,2,4-7,0-0,18:40,0,2,-3,11,0,3-5,2,0
Omri Casspi,Houston,3,1,0,2,2-5,2-2,12:00,0,1,-3,7,1,1-2,2,0
Aaron Brooks,Houston,0,0,0,0,0-1,0-0,5:04,0,2,-6,0,0,0-1,0,1
Wesley Johnson,LA Lakers,1,0,1,7,9-13,2-3,42:18,0,3,-27,24,2,4-6,7,2
Ryan Kelly,LA Lakers,3,2,2,2,4-14,4-4,29:19,1,3,+3,13,0,1-5,3,1
Chris Kaman,LA Lakers,2,1,2,4,4-11,1-1,22:05,0,3,-8,9,0,0-0,4,1
Kendall Marshall,LA Lakers,16,0,1,1,7-13,2-4,42:43,0,1,-17,20,3,4-6,1,4
Jodie Meeks,LA Lakers,2,0,0,1,7-14,3-3,34:07,0,3,-17,19,1,2-6,1,3
Jordan Hill,LA Lakers,0,1,0,6,5-7,0-0,25:40,1,4,-31,10,3,0-0,7,2
Robert Sacre,LA Lakers,1,1,0,5,2-6,0-0,24:09,1,1,-12,4,1,0-0,6,0
Jordan Farmar,LA Lakers,4,0,0,3,3-6,0-0,19:39,0,1,-21,9,0,3-4,3,6
