Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,2,0,0,4,5-16,0-0,36:14,1,1,-17,11,1,1-6,5,1
Terrence Jones,Houston,3,1,0,5,3-7,2-3,29:26,1,2,-5,8,0,0-1,6,1
Dwight Howard,Houston,1,1,2,10,4-11,2-6,33:15,2,3,-16,10,2,0-0,12,4
James Harden,Houston,3,1,0,2,6-13,4-4,34:06,2,0,-22,16,0,0-4,4,3
Patrick Beverley,Houston,0,0,0,2,3-11,0-0,32:42,3,4,-13,9,0,3-6,5,0
Jeremy Lin,Houston,3,1,1,1,2-8,2-2,28:16,0,1,-13,6,0,0-4,1,2
Omri Casspi,Houston,0,0,1,2,3-6,2-2,17:51,0,1,-8,9,0,1-3,2,1
Donatas Motiejunas,Houston,0,1,0,2,0-1,0-0,11:35,0,2,-9,0,0,0-1,2,2
Aaron Brooks,Houston,2,0,1,0,2-4,0-0,9:51,0,0,+5,6,0,2-3,0,1
Robert Covington,Houston,0,0,0,0,2-4,0-0,6:44,1,1,+8,6,0,2-4,1,0
Zach Randolph,Memphis,3,0,3,10,7-16,1-3,30:52,7,3,+17,15,0,0-1,17,4
Tayshaun Prince,Memphis,0,0,0,4,1-5,0-0,23:48,0,0,+6,2,0,0-1,4,0
Marc Gasol,Memphis,2,1,0,4,2-6,2-2,23:31,1,4,+11,6,0,0-0,5,0
Courtney Lee,Memphis,3,1,0,2,5-9,4-4,31:18,0,1,+20,15,0,1-3,2,0
Mike Conley,Memphis,4,0,0,2,6-13,2-3,30:26,1,1,+16,17,1,3-6,3,1
James Johnson,Memphis,8,0,0,2,5-12,1-2,24:50,2,4,+12,12,4,1-3,4,2
Kosta Koufos,Memphis,1,3,0,5,7-8,0-0,23:54,2,4,+5,14,0,0-0,7,2
Nick Calathes,Memphis,1,0,1,2,5-10,0-0,19:45,0,3,+2,11,3,1-2,2,1
Ed Davis,Memphis,0,0,1,4,1-5,0-0,17:08,2,2,+1,2,0,0-0,6,1
Mike Miller,Memphis,1,0,0,0,2-4,0-0,9:51,1,0,+5,5,0,1-3,1,0
Jamaal Franklin,Memphis,0,0,0,1,0-0,0-0,4:38,0,1,-5,0,0,0-0,1,0
