Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,5,0,0,1,4-9,1-2,37:54,0,2,+0,9,4,0-1,1,2
Terrence Jones,Houston,0,0,0,2,5-7,1-1,24:35,2,1,+2,12,2,1-1,4,1
Dwight Howard,Houston,5,2,0,11,9-12,3-6,37:48,3,3,-4,21,0,0-0,14,2
James Harden,Houston,1,0,0,3,7-16,11-12,43:11,0,3,-7,30,1,5-12,3,4
Patrick Beverley,Houston,5,1,2,0,5-14,4-4,36:17,0,3,-5,15,3,1-5,0,2
Jeremy Lin,Houston,2,0,1,1,2-7,1-1,25:34,0,4,-22,6,1,1-2,1,3
Donatas Motiejunas,Houston,0,0,0,3,3-5,0-0,17:12,1,2,+3,7,0,1-2,4,1
Omer Asik,Houston,0,0,0,2,2-3,0-2,10:12,4,1,-5,4,0,0-0,6,0
Jordan Hamilton,Houston,0,1,0,1,0-2,0-0,7:18,0,2,-7,0,0,0-0,1,0
LeBron James,Miami,6,0,1,5,8-17,7-8,42:52,0,3,+11,24,2,1-3,5,5
Chris Bosh,Miami,0,1,0,7,7-12,2-2,33:58,1,1,+8,18,2,2-6,8,1
Greg Oden,Miami,0,0,1,4,0-2,0-0,12:39,2,4,+1,0,0,0-0,6,1
Dwyane Wade,Miami,6,1,0,2,10-15,4-7,34:22,1,1,+17,24,2,0-0,3,1
Mario Chalmers,Miami,4,0,1,0,3-9,0-0,18:54,0,4,+4,6,1,0-3,0,5
Ray Allen,Miami,0,0,0,1,7-11,7-7,28:41,0,1,+7,25,0,4-6,1,0
Norris Cole,Miami,4,0,1,0,2-6,0-0,25:19,0,4,+7,5,1,1-2,0,0
Chris Andersen,Miami,0,1,0,4,2-3,2-2,20:58,3,1,-5,6,0,0-0,7,0
Shane Battier,Miami,1,0,0,1,1-2,2-3,20:38,0,2,-3,5,1,1-2,1,0
Toney Douglas,Miami,0,0,0,0,0-1,0-0,1:40,0,0,-2,0,0,0-0,0,0
