Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,1,0,0,3,8-11,0-0,27:58,0,0,+0,22,2,6-7,3,1
Omer Asik,Houston,2,1,0,5,6-7,1-4,26:01,3,2,+0,13,0,0-0,8,2
James Harden,Houston,7,1,0,1,11-18,5-7,38:09,1,3,+0,29,4,2-4,2,2
Toney Douglas,Houston,3,0,0,1,8-14,0-0,25:49,0,3,+0,18,1,2-6,1,1
Cole Aldrich,Houston,0,0,0,2,0-1,0-0,2:37,0,1,+0,0,0,0-0,2,0
Patrick Patterson,Houston,1,0,0,2,6-7,3-4,20:57,2,3,+0,18,0,3-4,4,1
James Anderson,Houston,0,0,0,0,0-1,0-0,2:37,0,0,+0,0,0,0-0,0,0
Jeremy Lin,Houston,7,0,0,1,3-8,2-2,28:52,0,3,+0,8,4,0-3,1,6
Marcus Morris,Houston,2,1,0,6,0-7,0-0,24:37,1,1,+0,0,0,0-4,7,2
Donatas Motiejunas,Houston,0,0,0,0,0-0,0-0,2:37,0,0,+0,0,1,0-0,0,0
Chandler Parsons,Houston,7,0,0,6,2-8,1-2,34:32,1,4,+0,5,1,0-5,7,2
Greg Smith,Houston,0,0,0,0,0-0,0-0,2:37,0,0,+0,0,0,0-0,0,0
Scott Machado,Houston,0,0,0,0,1-1,0-0,2:37,0,0,+0,2,0,0-0,0,2
Mike Dunleavy,Milwaukee,0,0,0,3,4-8,2-2,24:00,1,1,+0,12,1,2-3,4,1
Marquis Daniels,Milwaukee,0,0,0,0,0-2,0-0,3:11,0,0,+0,0,0,0-1,0,0
Beno Udrih,Milwaukee,4,0,0,4,4-5,3-5,24:23,0,1,+0,11,0,0-0,4,3
Ersan Ilyasova,Milwaukee,1,0,0,3,4-6,1-1,23:05,1,2,+0,11,0,2-3,4,1
Monta Ellis,Milwaukee,7,0,0,2,5-19,2-2,30:47,0,2,+0,12,2,0-3,2,4
Luc Richard Mbah a Moute,Milwaukee,1,1,0,2,3-9,2-2,23:22,2,2,+0,8,1,0-0,4,3
Brandon Jennings,Milwaukee,7,0,0,3,6-15,2-2,37:39,0,2,+0,16,3,2-3,3,4
Ekpe Udoh,Milwaukee,1,0,0,5,3-4,4-4,24:55,3,3,+0,10,0,0-0,8,3
Larry Sanders,Milwaukee,1,4,0,2,2-3,0-2,18:13,2,5,+0,4,1,0-0,4,3
Tobias Harris,Milwaukee,0,0,0,0,3-6,0-0,3:11,1,0,+0,6,0,0-1,1,0
John Henson,Milwaukee,1,2,0,8,5-10,1-3,27:14,7,3,+0,11,2,0-0,15,3
