Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,2,1,0,2,5-9,0-0,24:33,1,1,+0,14,0,4-6,3,0
Omer Asik,Houston,0,1,0,5,0-4,0-0,25:53,1,4,+0,0,1,0-0,6,3
James Harden,Houston,8,0,0,3,8-15,12-12,35:44,1,2,+0,30,1,2-3,4,8
Toney Douglas,Houston,2,0,0,1,1-4,0-0,14:20,0,2,+0,3,0,1-3,1,1
Patrick Beverley,Houston,0,0,0,0,0-1,2-2,0:57,0,0,+0,2,0,0-0,0,0
Cole Aldrich,Houston,0,0,0,1,0-0,0-0,0:57,0,0,+0,0,0,0-0,1,0
Patrick Patterson,Houston,0,1,0,8,8-11,1-2,34:14,5,2,+0,18,0,1-1,13,0
James Anderson,Houston,0,0,0,0,0-0,0-0,0:57,0,0,+0,0,0,0-0,0,0
Jeremy Lin,Houston,8,1,0,5,3-6,6-8,37:09,0,1,+0,13,6,1-3,5,4
Marcus Morris,Houston,0,0,0,2,3-6,0-0,17:08,1,4,+0,8,0,2-4,3,3
Chandler Parsons,Houston,2,3,0,2,5-13,0-1,34:58,1,3,+0,10,0,0-1,3,1
Greg Smith,Houston,1,0,0,2,1-2,0-1,13:10,3,5,+0,2,0,0-0,5,1
Roger Mason Jr.,New Orleans,1,1,0,2,0-1,0-0,16:55,1,2,+0,0,0,0-1,3,1
Jason Smith,New Orleans,2,2,0,5,2-5,0-0,16:48,0,4,+0,4,0,0-0,5,3
Eric Gordon,New Orleans,2,0,0,0,6-14,6-8,30:48,0,3,+0,20,1,2-4,0,3
Robin Lopez,New Orleans,0,0,0,2,2-4,2-2,18:08,0,1,+0,6,0,0-0,2,0
Ryan Anderson,New Orleans,1,2,0,1,6-13,7-7,32:39,3,2,+0,19,1,0-5,4,1
Al-Farouq Aminu,New Orleans,2,0,0,3,5-10,0-0,23:25,3,2,+0,11,2,1-2,6,2
Xavier Henry,New Orleans,1,0,0,2,0-0,0-0,7:05,0,2,+0,0,0,0-0,2,0
Greivis Vasquez,New Orleans,6,0,0,1,1-6,0-0,23:58,0,3,+0,2,0,0-2,1,2
Lance Thomas,New Orleans,0,0,0,0,0-2,0-0,4:25,0,0,+0,0,0,0-0,0,0
Anthony Davis,New Orleans,0,1,0,4,4-7,2-2,26:47,3,3,+0,10,3,0-0,7,2
Austin Rivers,New Orleans,2,1,0,1,3-11,0-1,20:16,2,3,+0,6,0,0-2,3,0
Brian Roberts,New Orleans,3,0,0,1,2-7,0-0,18:46,0,1,+0,4,1,0-4,1,1
