Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,0,0,0,5,6-9,0-0,28:49,0,2,+0,16,0,4-7,5,2
Daequan Cook,Houston,1,0,0,0,0-0,0-0,3:04,0,0,+0,0,0,0-0,0,0
Omer Asik,Houston,0,3,0,2,2-5,2-2,24:42,0,3,+0,6,2,0-0,2,2
James Harden,Houston,3,0,0,9,9-18,8-9,37:42,1,3,+0,28,2,2-6,10,1
Toney Douglas,Houston,2,0,0,4,3-9,1-1,18:08,1,1,+0,7,1,0-2,5,2
Jeremy Lin,Houston,9,0,0,3,9-15,3-4,39:01,1,3,+0,22,2,1-6,4,4
Marcus Morris,Houston,0,0,0,3,4-7,3-4,29:10,0,1,+0,13,0,2-3,3,2
Chandler Parsons,Houston,3,0,0,5,4-9,0-0,38:20,0,1,+0,9,5,1-4,5,3
Greg Smith,Houston,0,1,0,5,3-5,2-4,18:17,3,2,+0,8,1,0-0,8,1
Terrence Jones,Houston,0,0,0,0,0-1,0-0,2:47,0,0,+0,0,0,0-1,0,0
Jason Kidd,New York,3,0,0,4,2-9,0-0,28:46,0,3,+0,5,2,1-5,4,3
Kurt Thomas,New York,0,0,0,1,0-1,0-2,4:52,0,0,+0,0,0,0-0,1,0
Tyson Chandler,New York,1,1,0,11,3-7,2-4,34:44,7,4,+0,8,0,0-0,18,2
J.R. Smith,New York,0,0,0,3,7-13,1-2,19:56,0,3,+0,17,0,2-5,3,2
Raymond Felton,New York,4,0,0,2,7-18,0-0,30:30,1,0,+0,14,0,0-4,3,3
Ronnie Brewer,New York,1,0,0,3,1-3,0-2,20:00,1,1,+0,2,1,0-1,4,2
James White,New York,0,0,0,3,2-5,0-0,22:50,0,2,+0,4,0,0-0,3,2
Steve Novak,New York,1,0,0,0,1-5,0-0,33:14,1,2,+0,3,1,1-5,1,0
Chris Copeland,New York,0,1,0,3,11-19,4-4,28:28,2,2,+0,29,2,3-5,5,2
Pablo Prigioni,New York,5,0,0,2,5-10,2-2,16:40,1,1,+0,14,2,2-6,3,1
