Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chandler Parsons,Houston,1,0,0,1,5-12,3-3,33:30,1,1,-23,15,0,2-6,2,0
Terrence Jones,Houston,0,1,0,7,1-5,0-0,21:54,2,1,-18,2,0,0-0,9,0
Dwight Howard,Houston,1,1,1,7,4-13,1-7,25:16,2,3,-27,9,1,0-0,9,1
James Harden,Houston,3,1,2,1,2-9,4-5,30:03,2,1,-20,8,0,0-3,3,2
Jeremy Lin,Houston,1,0,2,2,2-9,2-4,24:20,1,0,-28,6,0,0-2,3,3
Omri Casspi,Houston,0,0,0,3,6-12,2-4,30:28,3,2,-6,15,1,1-5,6,2
Aaron Brooks,Houston,2,1,0,1,6-14,2-2,23:26,0,1,-1,17,1,3-7,1,0
Francisco Garcia,Houston,0,0,0,1,3-5,1-4,21:20,0,4,-10,8,1,1-2,1,1
Donatas Motiejunas,Houston,0,0,0,2,1-3,0-0,15:58,0,1,-9,2,0,0-1,2,0
Isaiah Canaan,Houston,0,0,0,0,1-3,2-2,7:29,0,0,-7,4,0,0-2,0,0
Ronnie Brewer,Houston,0,0,0,2,0-0,0-0,6:16,0,0,-6,0,0,0-0,2,0
Kevin Durant,Oklahoma City,5,1,0,13,11-17,8-9,38:13,0,3,+27,33,1,3-5,13,2
Serge Ibaka,Oklahoma City,2,2,1,5,4-11,0-0,26:56,0,2,+18,8,0,0-1,5,2
Kendrick Perkins,Oklahoma City,0,1,0,8,1-2,0-0,22:45,1,4,+25,2,1,0-0,9,1
Thabo Sefolosha,Oklahoma City,2,0,0,2,5-10,2-2,29:28,0,1,+22,13,0,1-6,2,0
Reggie Jackson,Oklahoma City,8,0,2,2,7-12,0-0,25:59,1,2,+17,16,0,2-4,3,0
Jeremy Lamb,Oklahoma City,5,1,0,5,8-10,3-3,26:11,0,2,+10,22,2,3-4,5,3
Perry Jones,Oklahoma City,0,0,0,2,4-5,0-2,21:02,1,5,+6,8,0,0-0,3,0
Derek Fisher,Oklahoma City,1,0,0,0,1-3,0-0,16:23,0,1,+6,3,2,1-2,0,0
Nick Collison,Oklahoma City,3,0,1,4,2-5,0-0,13:14,1,1,+5,4,0,0-0,5,1
Andre Roberson,Oklahoma City,1,0,0,2,0-1,0-0,7:17,0,3,+7,0,0,0-0,2,0
Steven Adams,Oklahoma City,1,0,0,1,3-4,0-0,6:16,0,0,+6,6,0,0-0,1,1
Ryan Gomes,Oklahoma City,0,0,0,1,1-2,0-0,6:16,0,0,+6,2,0,0-0,1,0
