Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,3,0,0,3,6-11,0-0,27:06,0,1,+0,16,1,4-7,3,2
Omer Asik,Houston,2,0,0,8,6-7,4-4,39:16,2,3,+0,16,0,0-0,10,2
James Harden,Houston,6,0,0,8,10-19,7-8,44:54,1,3,+0,29,2,2-9,9,4
Toney Douglas,Houston,1,0,0,1,1-6,0-0,13:36,1,2,+0,2,0,0-2,2,0
Patrick Patterson,Houston,0,0,0,0,1-4,0-0,11:42,0,2,+0,3,0,1-2,0,0
Jeremy Lin,Houston,5,0,0,2,2-13,3-4,37:54,2,3,+0,7,3,0-3,4,1
Marcus Morris,Houston,0,0,0,1,2-6,0-2,20:54,1,1,+0,4,0,0-2,2,1
Chandler Parsons,Houston,4,0,0,7,9-18,4-4,40:14,2,3,+0,23,0,1-7,9,6
Greg Smith,Houston,0,0,0,3,0-0,0-0,4:25,0,0,+0,0,0,0-0,3,0
Jason Richardson,Philadelphia,1,0,0,3,7-15,0-0,32:29,1,2,+0,16,0,2-7,4,0
Dorell Wright,Philadelphia,3,1,0,4,3-6,0-0,25:32,1,0,+0,8,1,2-5,5,0
Royal Ivey,Philadelphia,0,0,0,0,1-2,0-0,14:53,0,3,+0,3,0,1-1,0,0
Damien Wilkins,Philadelphia,0,0,0,0,1-3,5-6,10:59,0,1,+0,7,0,0-0,0,1
Spencer Hawes,Philadelphia,3,3,0,8,5-9,0-0,26:14,0,4,+0,10,1,0-1,8,1
Thaddeus Young,Philadelphia,3,0,0,9,8-14,2-4,36:16,3,3,+0,18,2,0-0,12,1
Jrue Holiday,Philadelphia,9,1,0,2,11-22,7-7,38:53,1,1,+0,30,4,1-3,3,6
Evan Turner,Philadelphia,6,0,0,7,6-10,0-0,33:56,0,1,+0,12,0,0-1,7,2
Lavoy Allen,Philadelphia,1,0,0,2,1-6,1-2,20:48,2,3,+0,3,0,0-0,4,0
