Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,1,0,0,5,8-15,0-0,28:30,0,1,+0,21,2,5-9,5,0
Francisco Garcia,Houston,2,1,0,1,2-7,0-0,13:04,0,1,+0,5,3,1-4,1,1
Omer Asik,Houston,0,2,0,10,2-6,0-0,38:24,6,3,+0,4,0,0-0,16,3
James Harden,Houston,8,0,0,4,11-17,9-12,42:01,1,3,+0,38,1,7-10,5,8
Patrick Beverley,Houston,5,0,0,0,0-4,0-0,17:26,3,1,+0,0,1,0-2,3,1
Jeremy Lin,Houston,4,0,0,0,4-9,2-2,30:34,1,6,+0,11,1,1-5,1,5
Donatas Motiejunas,Houston,0,1,0,2,3-7,0-0,17:30,1,5,+0,8,0,2-5,3,1
Chandler Parsons,Houston,2,1,0,0,5-16,1-3,34:53,1,1,+0,14,2,3-6,1,0
Greg Smith,Houston,0,0,0,0,2-4,0-1,9:25,2,2,+0,4,0,0-0,2,0
Thomas Robinson,Houston,0,0,0,2,0-1,0-0,8:13,0,1,+0,0,0,0-0,2,0
Luis Scola,Phoenix,2,1,0,3,1-6,4-5,16:20,1,1,+0,6,2,0-0,4,1
P.J. Tucker,Phoenix,1,0,0,7,3-8,2-2,22:06,3,4,+0,8,1,0-0,10,1
Jared Dudley,Phoenix,7,0,0,1,8-12,3-4,33:13,2,1,+0,22,2,3-5,3,4
Michael Beasley,Phoenix,2,0,0,4,4-7,1-2,23:36,0,1,+0,10,0,1-1,4,2
Goran Dragic,Phoenix,1,0,0,2,6-13,6-8,28:55,1,1,+0,18,2,0-2,3,1
Hamed Haddadi,Phoenix,0,3,0,8,3-7,0-4,28:13,3,3,+0,6,1,0-0,11,2
Wesley Johnson,Phoenix,1,0,0,0,2-7,0-0,15:20,1,3,+0,5,0,1-3,1,0
Markieff Morris,Phoenix,0,0,0,1,3-7,7-8,19:13,4,3,+0,14,1,1-1,5,2
Marcus Morris,Phoenix,0,0,0,2,4-8,1-4,24:29,2,3,+0,9,3,0-2,4,1
Kendall Marshall,Phoenix,4,0,0,2,3-7,1-2,28:35,0,0,+0,9,1,2-4,2,2
