Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,3,1,0,1,5-13,2-2,29:14,0,2,+0,15,0,3-9,1,1
Omer Asik,Houston,0,3,0,6,8-9,1-1,34:20,6,4,+0,17,0,0-0,12,3
James Harden,Houston,4,0,0,3,10-20,8-11,39:52,3,1,+0,30,1,2-7,6,4
Patrick Beverley,Houston,8,1,0,2,3-6,0-0,18:46,3,3,+0,6,0,0-2,5,2
Cole Aldrich,Houston,0,0,0,5,0-0,0-0,13:24,0,2,+0,0,0,0-0,5,0
Patrick Patterson,Houston,2,0,0,5,8-16,0-0,34:43,1,1,+0,18,0,2-4,6,1
Jeremy Lin,Houston,6,2,0,2,5-8,1-1,29:14,0,6,+0,12,1,1-1,2,1
Marcus Morris,Houston,0,0,0,4,3-5,0-0,13:17,0,2,+0,8,1,2-4,4,2
Chandler Parsons,Houston,6,0,0,1,2-12,1-2,27:10,1,0,+0,5,3,0-6,2,1
John Salmons,Sacramento,6,0,0,1,6-14,7-7,36:26,0,1,+0,23,2,4-7,1,2
Francisco Garcia,Sacramento,1,0,0,3,4-7,0-0,17:48,0,1,+0,11,1,3-4,3,1
Chuck Hayes,Sacramento,3,0,0,9,2-4,4-4,24:03,3,2,+0,8,1,0-0,12,0
Aaron Brooks,Sacramento,0,0,0,2,1-3,0-0,6:43,0,1,+0,2,0,0-0,2,0
Jason Thompson,Sacramento,1,2,0,5,6-10,0-0,32:48,2,4,+0,12,1,0-0,7,1
Tyreke Evans,Sacramento,4,0,0,2,3-7,0-0,23:02,2,4,+0,6,1,0-1,4,2
Marcus Thornton,Sacramento,0,0,0,1,1-4,0-0,18:54,0,0,+0,3,0,1-4,1,2
DeMarcus Cousins,Sacramento,1,0,0,6,9-14,2-3,23:56,1,5,+0,20,0,0-0,7,1
Jimmer Fredette,Sacramento,0,0,0,0,1-3,0-0,7:58,1,1,+0,3,0,1-1,1,0
Isaiah Thomas,Sacramento,6,0,0,1,4-10,13-13,33:20,0,1,+0,23,2,2-3,1,2
Thomas Robinson,Sacramento,0,0,0,1,3-11,0-0,15:02,6,1,+0,6,1,0-0,7,2
