Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dwight Howard,Houston,2,2,0,14,7-10,1-1,29:36,2,2,+13,15,0,0-0,16,4
Chandler Parsons,Houston,2,0,1,2,7-14,0-0,26:01,0,3,+12,16,0,2-6,2,1
Omer Asik,Houston,0,0,1,4,0-2,1-2,23:55,2,2,+13,1,1,0-0,6,1
James Harden,Houston,11,0,0,1,7-16,6-7,29:42,2,1,+12,22,3,2-7,3,2
Patrick Beverley,Houston,2,0,1,1,2-5,2-2,28:31,3,4,+11,6,1,0-1,4,0
Jeremy Lin,Houston,6,0,0,3,3-9,4-4,23:19,1,3,+6,11,1,1-3,4,3
Omri Casspi,Houston,0,0,1,3,6-11,0-0,23:08,0,0,+1,16,0,4-8,3,1
Francisco Garcia,Houston,0,0,0,2,3-7,0-0,18:20,1,1,+2,8,1,2-6,3,0
Aaron Brooks,Houston,0,0,0,2,1-3,0-0,8:32,0,1,+5,3,0,1-2,2,0
Donatas Motiejunas,Houston,1,0,0,3,2-4,2-2,8:32,0,2,+5,7,0,1-3,3,1
Greg Smith,Houston,1,1,0,2,1-3,0-0,8:32,1,0,+5,2,0,0-0,3,0
Ronnie Brewer,Houston,2,0,0,1,1-1,0-1,5:56,0,0,+0,2,0,0-0,1,0
Isaiah Canaan,Houston,0,0,1,1,0-4,0-0,5:56,0,1,+0,0,1,0-2,1,0
Boris Diaw,San Antonio,5,1,0,3,2-4,2-3,27:17,0,1,-11,7,2,1-1,3,2
Tim Duncan,San Antonio,1,1,1,6,2-12,2-2,23:15,2,4,-5,6,1,0-0,8,4
Tiago Splitter,San Antonio,2,0,0,3,3-7,1-1,18:05,2,1,-6,7,1,0-0,5,1
Danny Green,San Antonio,1,0,0,1,5-13,0-0,24:47,1,3,+4,12,2,2-6,2,1
Tony Parker,San Antonio,4,0,0,3,3-5,2-2,20:12,0,0,-6,8,0,0-0,3,1
Aron Baynes,San Antonio,1,2,1,5,8-13,0-0,20:57,1,2,-10,16,1,0-0,6,1
Marco Belinelli,San Antonio,0,0,0,1,4-8,3-3,20:21,0,3,-19,12,0,1-3,1,1
Patty Mills,San Antonio,6,1,0,4,3-9,0-0,18:53,0,0,-4,8,0,2-5,4,0
Jeff Ayres,San Antonio,1,0,1,2,3-6,2-2,17:49,2,4,-10,8,0,0-0,4,2
Nando De Colo,San Antonio,0,0,0,1,0-1,3-4,17:18,0,2,-5,3,0,0-0,1,1
Cory Joseph,San Antonio,4,0,0,2,0-3,0-0,16:43,0,0,-10,0,0,0-0,2,1
Matt Bonner,San Antonio,1,0,0,1,2-7,0-0,14:23,1,0,-3,5,0,1-3,2,0
