Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Carlos Delfino,Houston,2,0,0,1,5-9,0-0,21:44,0,2,+0,14,0,4-6,1,0
Omer Asik,Houston,0,2,0,17,1-5,2-2,25:57,2,1,+0,4,0,0-0,19,2
James Harden,Houston,3,1,0,2,8-15,8-8,27:40,1,1,+0,25,1,1-5,3,0
Toney Douglas,Houston,1,0,0,0,3-10,0-0,23:17,0,0,+0,7,1,1-5,0,0
Patrick Beverley,Houston,3,1,0,0,1-1,0-0,12:00,1,1,+0,3,2,1-1,1,0
Cole Aldrich,Houston,1,0,0,2,1-1,1-2,7:51,0,2,+0,3,0,0-0,2,0
Patrick Patterson,Houston,2,0,0,2,6-9,0-0,25:36,0,3,+0,12,0,0-1,2,0
James Anderson,Houston,3,0,0,3,3-6,0-0,9:41,0,0,+0,8,1,2-4,3,0
Jeremy Lin,Houston,7,0,0,2,5-5,1-1,24:43,0,1,+0,12,3,1-1,2,3
Marcus Morris,Houston,2,0,0,0,5-9,2-4,14:33,2,1,+0,16,1,4-6,2,0
Donatas Motiejunas,Houston,1,0,0,1,2-6,0-0,7:51,1,2,+0,6,0,2-3,2,0
Chandler Parsons,Houston,2,0,0,2,6-8,0-0,24:55,1,0,+0,12,3,0-2,3,0
Greg Smith,Houston,0,0,0,2,1-5,1-1,14:12,2,4,+0,3,0,0-0,4,0
Jamaal Tinsley,Utah,1,0,0,2,2-5,0-0,18:23,0,1,+0,6,2,2-5,2,2
Earl Watson,Utah,1,0,0,2,0-1,0-0,9:37,0,3,+0,0,0,0-1,2,1
Al Jefferson,Utah,3,2,0,6,5-14,0-0,28:18,2,3,+0,10,0,0-0,8,2
Marvin Williams,Utah,2,0,0,4,3-6,0-2,26:21,1,1,+0,7,0,1-4,5,0
Randy Foye,Utah,2,1,0,0,5-13,1-1,29:42,0,2,+0,12,0,1-4,0,1
Paul Millsap,Utah,1,1,0,1,2-9,0-0,21:03,1,1,+0,4,0,0-0,2,0
DeMarre Carroll,Utah,1,1,0,0,1-3,2-2,10:48,2,1,+0,4,0,0-1,2,1
Derrick Favors,Utah,2,3,0,2,4-9,3-6,26:56,3,4,+0,11,0,0-1,5,3
Jeremy Evans,Utah,0,0,0,1,0-1,0-0,10:51,2,2,+0,0,0,0-1,3,1
Alec Burks,Utah,4,1,0,0,2-6,4-6,26:19,1,0,+0,8,0,0-0,1,2
Enes Kanter,Utah,2,0,0,6,4-8,1-2,19:42,2,1,+0,9,0,0-0,8,2
Kevin Murphy,Utah,0,0,0,1,4-6,0-0,12:00,0,0,+0,9,0,1-1,1,0
