Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,1,0,0,4,5-10,6-6,27:25,0,2,-6,17,0,1-2,4,1
David West,Indiana,3,0,0,4,9-16,6-7,26:40,3,3,+8,24,2,0-0,7,3
Roy Hibbert,Indiana,0,1,0,1,1-7,0-0,21:36,2,2,-14,2,1,0-0,3,1
Lance Stephenson,Indiana,8,0,0,6,3-7,0-0,30:59,0,1,+14,6,0,0-3,6,0
George Hill,Indiana,1,1,1,2,3-6,0-0,22:19,0,1,-12,8,1,2-2,2,1
Ian Mahinmi,Indiana,0,1,0,2,2-3,2-2,22:36,0,3,+34,6,1,0-0,2,1
C.J. Watson,Indiana,3,0,0,4,3-4,4-4,21:53,0,0,+32,11,1,1-1,4,1
Luis Scola,Indiana,0,0,2,1,10-15,0-1,18:28,1,3,+15,20,1,0-0,2,3
Orlando Johnson,Indiana,2,0,1,3,1-4,1-2,17:47,0,1,+29,3,0,0-2,3,1
Solomon Hill,Indiana,1,1,0,0,1-2,0-0,14:54,0,0,-1,3,0,1-1,0,1
Chris Copeland,Indiana,1,0,0,1,1-1,0-0,4:57,0,0,+0,3,0,1-1,1,1
Hilton Armstrong,Indiana,1,0,0,1,0-0,0-0,3:48,1,0,-2,0,0,0-0,2,1
Donald Sloan,Indiana,1,0,0,0,2-3,0-0,3:48,1,1,-2,4,0,0-0,1,0
Rasual Butler,Indiana,0,0,0,0,0-0,0-0,2:50,0,1,-5,0,0,0-0,0,0
DeMarre Carroll,Atlanta,2,0,0,4,5-9,0-0,31:19,0,0,-7,12,0,2-4,4,1
Al Horford,Atlanta,1,0,0,6,6-14,0-0,28:36,1,4,-4,12,0,0-0,7,3
Elton Brand,Atlanta,0,2,0,3,5-9,1-1,22:07,2,3,-2,11,2,0-0,5,0
Jeff Teague,Atlanta,8,0,1,0,6-10,5-6,32:22,0,0,-10,17,0,0-1,0,5
Kyle Korver,Atlanta,3,0,0,8,3-11,1-2,30:26,1,1,-13,9,0,2-4,9,2
Mike Scott,Atlanta,0,0,0,1,7-8,2-2,22:47,1,3,-15,17,0,1-2,2,0
Pero Antic,Atlanta,3,2,0,2,3-7,0-0,22:30,1,4,-15,7,1,1-5,3,3
Cartier Martin,Atlanta,4,0,0,1,1-2,2-2,19:02,0,0,-13,4,1,0-1,1,0
John Jenkins,Atlanta,2,0,1,1,0-1,0-0,11:07,0,0,-5,0,0,0-1,1,0
Dennis Schroder,Atlanta,3,0,0,0,0-2,0-0,10:14,0,0,-4,0,0,0-1,0,2
Royal Ivey,Atlanta,1,0,2,0,0-4,0-0,9:30,0,4,-2,0,0,0-0,0,3
