Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,3,0,1,8,10-21,4-5,33:50,0,2,-6,27,3,3-6,8,1
David West,Indiana,4,1,0,6,4-9,4-4,30:51,1,0,-3,12,1,0-0,7,1
Roy Hibbert,Indiana,0,1,1,4,6-10,3-3,32:59,1,5,+9,15,0,0-0,5,3
Lance Stephenson,Indiana,6,0,1,8,5-8,5-6,42:59,1,2,+12,16,0,1-2,9,2
C.J. Watson,Indiana,2,0,1,1,3-8,0-0,28:22,1,1,+5,7,0,1-3,2,1
Evan Turner,Indiana,2,0,0,3,7-13,1-3,26:29,0,4,+7,15,0,0-1,3,0
Luis Scola,Indiana,0,1,0,2,3-3,2-2,17:09,0,2,+8,8,1,0-0,2,1
Ian Mahinmi,Indiana,0,1,0,2,1-2,0-0,15:01,0,2,-4,2,0,0-0,2,0
Donald Sloan,Indiana,2,0,1,0,0-3,0-0,12:20,0,1,-3,0,0,0-1,0,0
Jeff Green,Boston,1,1,1,3,10-22,5-6,43:22,2,3,-3,27,0,2-5,5,1
Brandon Bass,Boston,2,0,1,3,7-13,2-2,31:31,2,2,+0,16,1,0-0,5,1
Kris Humphries,Boston,2,2,1,6,7-15,4-5,36:39,4,2,-7,18,0,0-0,10,1
Rajon Rondo,Boston,11,0,1,7,4-12,1-2,38:29,0,4,-5,12,0,3-6,7,2
Jerryd Bayless,Boston,3,0,0,4,5-11,0-0,32:11,1,4,-5,11,1,1-5,5,1
Jared Sullinger,Boston,3,1,0,3,4-12,2-2,24:31,3,3,+1,10,0,0-2,6,1
Chris Johnson,Boston,0,1,0,1,1-3,0-0,18:49,0,3,-4,3,0,1-2,1,0
Phil Pressey,Boston,3,0,0,2,0-1,0-0,9:31,0,0,+0,0,0,0-1,2,1
Joel Anthony,Boston,0,0,0,0,0-0,0-0,3:19,0,0,-4,0,0,0-0,0,0
Chris Babb,Boston,0,0,0,0,0-0,0-0,1:38,0,0,+2,0,0,0-0,0,0
