Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David West,Indiana,3,0,0,1,6-12,5-9,32:31,0,4,-3,17,0,0-0,1,2
Paul George,Indiana,4,0,0,2,8-15,4-4,25:09,2,5,+2,22,1,2-6,4,4
Roy Hibbert,Indiana,0,1,0,4,7-13,4-5,28:27,2,5,-6,18,0,0-0,6,1
George Hill,Indiana,1,0,1,6,2-6,3-4,33:09,1,1,-3,8,0,1-1,7,0
Danny Granger,Indiana,1,0,0,1,4-7,0-0,15:54,0,2,-2,11,0,3-3,1,0
Lance Stephenson,Indiana,8,0,0,7,4-8,2-6,34:22,0,6,+3,11,1,1-2,7,3
Ian Mahinmi,Indiana,0,0,1,2,2-4,1-2,19:14,4,1,+2,5,0,0-0,6,0
C.J. Watson,Indiana,2,0,0,2,0-3,1-1,18:29,0,3,-3,1,0,0-3,2,1
Luis Scola,Indiana,2,2,1,3,1-5,3-4,15:29,1,3,-2,5,0,0-0,4,3
Orlando Johnson,Indiana,0,0,0,0,0-2,0-0,10:47,0,0,-8,0,0,0-1,0,1
Solomon Hill,Indiana,0,0,0,1,0-1,0-0,6:17,0,1,-5,0,0,0-1,1,1
Chris Copeland,Indiana,0,0,0,0,0-0,0-0,0:12,0,0,+0,0,0,0-0,0,0
Luol Deng,Chicago,2,0,0,4,7-14,5-5,31:01,2,3,+3,22,2,3-4,6,1
Carlos Boozer,Chicago,2,0,2,4,2-7,5-6,23:52,1,6,-1,9,0,0-0,5,3
Nazr Mohammed,Chicago,1,1,0,3,1-1,0-0,20:20,1,4,+15,2,0,0-0,4,0
Derrick Rose,Chicago,9,0,0,4,9-15,10-13,31:26,0,2,+8,32,0,4-7,4,2
Mike Dunleavy,Chicago,1,0,0,2,1-4,2-2,20:54,0,3,+14,4,1,0-1,2,0
Taj Gibson,Chicago,0,1,1,4,5-10,3-4,30:00,1,3,-6,13,0,0-0,5,2
Kirk Hinrich,Chicago,2,0,0,0,2-5,2-3,23:34,0,1,-3,7,1,1-1,0,1
Erik Murphy,Chicago,0,1,0,3,1-2,0-0,21:10,0,6,-1,3,0,1-2,3,0
Marquis Teague,Chicago,4,0,0,1,2-3,4-6,18:19,0,1,-7,8,1,0-1,1,1
Tony Snell,Chicago,1,0,0,5,1-7,1-2,17:37,1,0,+5,3,3,0-3,6,0
Mike James,Chicago,0,0,0,1,0-0,0-0,1:47,0,0,-2,0,0,0-0,1,0
