Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David West,Indiana,2,0,0,8,6-13,1-5,33:41,2,1,+0,13,0,0-1,10,1
Gerald Green,Indiana,0,1,0,0,4-6,4-4,15:43,0,1,+0,14,0,2-4,0,1
Ian Mahinmi,Indiana,3,1,0,2,4-7,2-4,22:37,1,4,+0,10,0,0-0,3,3
Roy Hibbert,Indiana,0,2,0,3,8-12,2-2,24:06,3,5,+0,18,0,0-0,6,2
George Hill,Indiana,6,0,0,7,5-13,1-1,36:37,1,2,+0,13,2,2-5,8,1
Tyler Hansbrough,Indiana,1,0,0,3,0-3,2-2,13:02,1,2,+0,2,0,0-0,4,2
Jeff Ayres,Indiana,0,0,0,0,0-1,0-0,1:17,0,0,+0,0,0,0-0,0,0
Sam Young,Indiana,1,0,0,2,1-3,0-0,12:49,1,0,+0,3,0,1-1,3,1
Paul George,Indiana,3,1,0,4,4-13,2-3,35:11,1,3,+0,10,5,0-3,5,5
Lance Stephenson,Indiana,7,0,0,2,7-8,2-4,32:17,0,3,+0,16,2,0-1,2,0
Miles Plumlee,Indiana,0,0,0,0,0-0,0-0,1:17,0,0,+0,0,0,0-0,0,0
Ben Hansbrough,Indiana,1,0,0,2,0-1,0-0,11:23,1,0,+0,0,0,0-1,3,1
C.J. Miles,Cleveland,1,1,0,4,4-11,0-1,15:13,1,1,+0,10,1,2-4,5,0
Daniel Gibson,Cleveland,1,0,0,2,3-6,0-1,28:56,0,2,+0,8,0,2-4,2,0
Omri Casspi,Cleveland,0,0,0,1,0-0,0-0,1:17,0,0,+0,0,0,0-0,1,0
Alonzo Gee,Cleveland,2,1,0,0,4-8,2-2,31:30,0,3,+0,11,1,1-2,0,2
Samardo Samuels,Cleveland,1,0,0,3,1-3,2-2,18:21,0,5,+0,4,0,0-0,3,0
Kyrie Irving,Cleveland,5,0,0,1,5-16,7-7,35:09,0,0,+0,17,1,0-3,1,6
Tristan Thompson,Cleveland,0,2,0,9,5-9,2-5,34:27,4,3,+0,12,0,0-0,13,3
Jeremy Pargo,Cleveland,0,0,0,0,0-0,2-2,1:17,0,0,+0,2,0,0-0,0,0
Dion Waiters,Cleveland,7,0,0,4,4-12,3-4,30:38,0,3,+0,11,1,0-3,4,2
Tyler Zeller,Cleveland,1,2,0,6,5-13,2-2,34:32,1,3,+0,12,0,0-0,7,3
Kevin Jones,Cleveland,1,0,0,0,1-2,0-0,8:40,0,2,+0,2,0,0-0,0,0
