Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Gerald Green,Indiana,2,1,0,0,1-3,0-0,4:32,0,0,+0,2,0,0-0,0,0
Ian Mahinmi,Indiana,0,1,0,2,0-2,0-0,11:16,1,4,+0,0,1,0-0,3,1
D.J. Augustin,Indiana,1,0,0,0,1-1,2-2,9:41,1,0,+0,5,0,1-1,1,0
Roy Hibbert,Indiana,3,3,0,10,11-17,6-8,36:35,3,3,+0,28,0,0-0,13,4
George Hill,Indiana,5,0,0,4,1-11,0-0,38:19,0,2,+0,2,2,0-5,4,0
Tyler Hansbrough,Indiana,1,0,0,6,4-7,8-9,32:07,2,2,+0,16,2,0-0,8,1
Jeff Ayres,Indiana,1,0,0,5,1-3,0-0,15:53,0,2,+0,2,0,0-0,5,1
Sam Young,Indiana,0,0,0,0,1-1,0-0,4:24,0,0,+0,2,0,0-0,0,0
Paul George,Indiana,3,0,0,6,4-17,6-6,39:04,0,4,+0,16,3,2-8,6,2
Lance Stephenson,Indiana,3,0,0,3,9-14,2-3,34:53,2,2,+0,21,1,1-2,5,1
Orlando Johnson,Indiana,1,0,0,0,2-2,0-0,13:17,0,2,+0,6,0,2-2,0,2
Carlos Delfino,Houston,0,0,0,1,2-6,0-0,15:37,1,3,+0,5,1,1-2,2,1
Omer Asik,Houston,1,1,0,3,3-5,2-3,25:45,2,3,+0,8,1,0-0,5,1
James Harden,Houston,8,0,0,4,6-24,7-9,42:43,0,4,+0,22,1,3-10,4,3
Patrick Beverley,Houston,1,1,0,2,3-6,2-2,28:07,1,1,+0,9,0,1-3,3,1
Jeremy Lin,Houston,4,0,0,1,3-6,1-1,19:53,0,1,+0,8,2,1-2,1,4
Donatas Motiejunas,Houston,0,1,0,2,0-2,0-0,12:55,0,4,+0,0,0,0-1,2,0
Chandler Parsons,Houston,3,1,0,2,5-14,1-1,40:16,0,2,+0,11,1,0-3,2,2
Greg Smith,Houston,0,0,0,12,6-12,6-8,32:28,7,4,+0,18,0,0-0,19,2
Thomas Robinson,Houston,1,0,0,0,4-8,2-2,22:17,4,3,+0,10,1,0-0,4,0
