Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,5,1,0,5,10-23,3-3,34:54,1,4,+14,27,2,4-10,6,3
David West,Indiana,2,1,1,6,11-22,2-2,34:43,6,4,+17,24,0,0-1,12,1
Roy Hibbert,Indiana,2,1,0,3,8-16,3-4,36:19,5,3,+18,19,1,0-1,8,4
Lance Stephenson,Indiana,6,0,0,7,3-6,1-3,39:25,3,3,+3,7,1,0-2,10,3
George Hill,Indiana,6,0,0,5,2-5,6-6,35:32,0,3,+21,11,1,1-4,5,3
C.J. Watson,Indiana,3,0,0,0,1-6,0-0,18:13,0,2,-19,3,0,1-5,0,0
Luis Scola,Indiana,0,0,1,4,1-5,1-2,13:17,1,1,-12,3,0,0-0,5,2
Ian Mahinmi,Indiana,0,1,0,2,1-3,3-6,11:41,1,2,-13,5,0,0-0,3,0
Orlando Johnson,Indiana,1,0,0,0,1-1,0-0,9:08,0,1,+1,3,0,1-1,0,0
Solomon Hill,Indiana,0,0,0,1,1-2,0-0,6:48,0,2,-5,3,0,1-2,1,0
Blake Griffin,LA Clippers,2,0,1,9,6-13,4-5,36:32,3,3,-21,16,1,0-0,12,5
Jared Dudley,LA Clippers,0,0,1,0,3-7,3-3,19:14,0,3,-18,10,1,1-1,0,2
DeAndre Jordan,LA Clippers,2,1,1,6,5-8,1-2,35:19,6,3,-15,11,3,0-0,12,0
Chris Paul,LA Clippers,10,0,0,3,6-15,5-5,34:00,0,4,-19,17,1,0-1,3,1
Willie Green,LA Clippers,0,0,0,0,1-5,0-0,14:57,0,0,-11,2,0,0-3,0,0
Jamal Crawford,LA Clippers,2,0,0,1,6-19,7-7,32:58,0,1,+8,20,1,1-6,1,1
Darren Collison,LA Clippers,3,0,0,5,3-6,2-4,23:32,0,4,+14,8,0,0-1,5,1
Reggie Bullock,LA Clippers,0,0,0,1,4-4,1-1,19:19,0,0,+11,10,1,1-1,1,0
Antawn Jamison,LA Clippers,0,0,1,3,1-4,0-2,15:32,1,3,+16,3,0,1-2,4,0
Ryan Hollins,LA Clippers,0,1,0,1,1-1,1-2,8:37,2,2,+10,3,0,0-0,3,1
