Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,6,0,1,4,4-21,5-9,34:27,1,3,+10,14,2,1-6,5,2
David West,Indiana,0,1,0,6,8-14,3-3,29:04,2,1,+14,19,0,0-0,8,0
Roy Hibbert,Indiana,2,0,2,6,5-11,1-2,29:55,4,4,+9,11,1,0-1,10,1
Lance Stephenson,Indiana,6,0,0,14,6-9,3-9,37:30,0,3,+12,15,2,0-0,14,0
George Hill,Indiana,3,0,0,6,6-9,0-0,28:58,1,0,+12,13,1,1-2,7,0
Danny Granger,Indiana,1,0,0,3,3-10,2-2,22:37,3,0,+6,10,0,2-7,6,0
C.J. Watson,Indiana,2,0,0,1,4-8,0-0,19:02,0,0,+0,9,1,1-4,1,1
Luis Scola,Indiana,2,0,1,4,4-11,0-0,18:56,2,2,-2,8,0,0-0,6,0
Ian Mahinmi,Indiana,1,1,0,2,2-5,1-2,18:05,4,3,+3,5,0,0-0,6,0
Rasual Butler,Indiana,0,0,0,0,0-0,0-0,0:43,0,0,-2,0,0,0-0,0,0
Orlando Johnson,Indiana,0,0,0,0,0-1,0-0,0:43,0,0,-2,0,0,0-1,0,0
Wesley Johnson,LA Lakers,1,1,0,8,3-7,0-0,30:30,2,1,-8,7,0,1-2,10,1
Ryan Kelly,LA Lakers,2,2,0,2,2-7,6-7,19:13,1,3,-12,10,1,0-2,3,0
Pau Gasol,LA Lakers,2,0,0,11,10-19,1-1,35:48,2,2,-10,21,0,0-0,13,2
Kendall Marshall,LA Lakers,13,0,1,2,5-11,0-1,39:19,0,1,-9,11,0,1-3,2,1
Jodie Meeks,LA Lakers,1,0,0,2,7-16,5-5,32:40,0,1,-10,21,2,2-8,2,2
Jordan Hill,LA Lakers,1,1,0,11,5-10,0-0,28:47,1,3,+0,10,0,0-0,12,2
Nick Young,LA Lakers,1,0,1,1,5-16,1-2,24:01,0,2,-5,12,0,1-7,1,0
Manny Harris,LA Lakers,2,0,0,4,0-6,0-0,17:30,1,1,-4,0,0,0-2,5,1
Robert Sacre,LA Lakers,1,0,0,2,0-2,0-0,12:12,0,4,-2,0,0,0-0,2,0
