Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David West,Indiana,3,5,0,1,7-16,0-0,35:53,1,1,+0,14,3,0-1,2,3
Gerald Green,Indiana,1,0,0,0,0-3,0-0,6:28,0,0,+0,0,0,0-1,0,0
Ian Mahinmi,Indiana,0,1,0,1,2-4,0-2,15:25,1,3,+0,4,0,0-0,2,0
D.J. Augustin,Indiana,3,0,0,0,2-3,0-1,15:25,0,0,+0,6,0,2-3,0,0
Roy Hibbert,Indiana,2,4,0,4,4-7,2-2,32:35,1,3,+0,10,1,0-0,5,2
George Hill,Indiana,4,0,0,4,5-9,2-3,32:35,0,2,+0,13,1,1-2,4,8
Tyler Hansbrough,Indiana,0,0,0,3,4-5,1-1,12:08,5,2,+0,9,0,0-0,8,2
Paul George,Indiana,8,0,0,9,5-13,0-0,42:30,1,0,+0,12,2,2-4,10,0
Lance Stephenson,Indiana,1,1,0,3,3-7,1-2,35:13,0,1,+0,8,1,1-4,3,2
Orlando Johnson,Indiana,0,0,0,0,2-2,0-0,11:48,0,2,+0,6,0,2-2,0,3
Zach Randolph,Memphis,1,0,0,5,5-14,3-3,37:09,2,0,+0,13,1,0-0,7,1
Tony Allen,Memphis,1,0,0,3,3-8,0-0,25:31,5,0,+0,6,3,0-0,8,1
Rudy Gay,Memphis,3,0,0,5,7-22,0-0,39:57,3,2,+0,14,1,0-3,8,1
Mike Conley,Memphis,2,0,0,0,6-12,0-0,33:13,0,3,+0,13,3,1-4,0,3
Marc Gasol,Memphis,2,1,0,3,2-4,2-2,31:23,2,3,+0,6,1,0-0,5,2
Jerryd Bayless,Memphis,5,0,0,4,2-3,0-0,19:44,0,0,+0,4,0,0-0,4,3
Marreese Speights,Memphis,1,0,0,1,1-4,2-2,10:51,1,2,+0,4,1,0-0,2,1
Darrell Arthur,Memphis,1,1,0,0,2-7,0-0,16:37,1,2,+0,4,0,0-0,1,0
Wayne Ellington,Memphis,0,0,0,0,7-9,0-0,25:35,0,0,+0,17,0,3-3,0,3
