Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
David West,Indiana,0,1,0,6,7-16,3-4,40:30,2,1,+0,17,1,0-0,8,0
Ian Mahinmi,Indiana,0,1,0,1,1-3,1-2,8:05,1,2,+0,3,0,0-0,2,0
D.J. Augustin,Indiana,0,0,0,0,0-2,0-0,18:15,0,1,+0,0,0,0-2,0,1
Roy Hibbert,Indiana,0,2,0,4,8-14,6-6,39:55,2,3,+0,22,0,0-0,6,3
George Hill,Indiana,4,0,0,0,0-4,1-1,36:50,0,4,+0,1,3,0-2,0,3
Tyler Hansbrough,Indiana,0,0,0,1,1-3,1-2,7:30,1,0,+0,3,0,0-0,2,0
Sam Young,Indiana,0,0,0,1,1-1,0-0,16:46,0,0,+0,2,0,0-0,1,2
Paul George,Indiana,5,0,0,11,11-19,0-0,44:00,0,2,+0,27,1,5-8,11,5
Lance Stephenson,Indiana,2,1,0,3,2-7,0-0,28:09,0,6,+0,4,1,0-1,3,3
Ray Allen,Miami,0,0,0,3,2-6,2-2,20:58,1,0,+0,7,0,1-3,4,2
Shane Battier,Miami,0,1,0,0,0-2,0-0,8:29,0,1,+0,0,0,0-2,0,1
Chris Andersen,Miami,0,2,0,4,2-2,0-0,18:20,0,2,+0,4,1,0-0,4,0
LeBron James,Miami,6,1,0,8,13-26,1-4,44:29,0,1,+0,30,2,3-7,8,3
Chris Bosh,Miami,1,0,0,5,3-7,0-0,33:22,0,2,+0,7,1,1-1,5,0
Dwyane Wade,Miami,4,1,0,4,3-8,4-6,40:36,2,0,+0,10,1,0-1,6,3
Udonis Haslem,Miami,0,1,0,0,8-9,0-0,25:35,3,2,+0,16,0,0-0,3,0
Mario Chalmers,Miami,6,0,0,1,5-12,0-0,33:35,0,3,+0,12,1,2-4,1,1
Norris Cole,Miami,2,1,0,1,2-3,0-0,14:36,0,0,+0,4,0,0-0,1,0
