Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,3,1,0,5,10-18,7-9,36:12,0,2,+6,32,1,5-7,5,1
David West,Indiana,5,0,0,7,11-16,8-10,33:09,0,3,+5,30,1,0-0,7,1
Roy Hibbert,Indiana,0,3,0,5,1-9,2-3,34:02,1,5,+4,4,0,0-0,6,2
Lance Stephenson,Indiana,8,0,2,7,7-13,7-10,37:17,2,3,+8,24,0,3-4,9,0
George Hill,Indiana,1,0,1,0,0-3,0-0,30:51,0,2,+6,0,2,0-1,0,2
Rasual Butler,Indiana,1,0,0,3,3-10,1-2,22:31,1,3,+6,8,0,1-6,4,0
C.J. Watson,Indiana,0,0,0,0,1-2,0-0,17:25,1,1,+4,2,2,0-0,1,1
Luis Scola,Indiana,1,0,0,3,2-7,1-2,14:51,1,1,+5,5,0,0-0,4,1
Ian Mahinmi,Indiana,0,2,0,0,1-2,3-4,13:42,4,3,+6,5,0,0-0,4,1
Ersan Ilyasova,Milwaukee,2,0,1,2,5-9,1-1,25:47,0,5,-7,12,0,1-3,2,0
Khris Middleton,Milwaukee,2,0,0,2,5-11,0-0,24:10,0,2,-14,13,0,3-7,2,2
Zaza Pachulia,Milwaukee,2,0,1,5,1-5,8-10,27:00,4,3,-2,10,2,0-0,9,2
Brandon Knight,Milwaukee,8,1,1,4,12-23,3-6,38:38,1,3,-8,30,1,3-9,5,0
Nate Wolters,Milwaukee,0,0,0,4,0-2,0-0,19:03,0,1,-2,0,0,0-0,4,0
Giannis Antetokounmpo,Milwaukee,1,0,1,4,2-6,4-4,24:17,2,3,+2,8,1,0-2,6,1
John Henson,Milwaukee,0,2,2,5,3-7,0-5,23:40,3,5,-6,6,0,0-0,8,3
Ramon Sessions,Milwaukee,1,0,0,3,1-5,5-6,22:37,0,0,-4,7,0,0-0,3,1
Jeff Adrien,Milwaukee,3,0,0,6,3-7,0-0,18:03,5,5,+5,6,0,0-0,11,1
O.J. Mayo,Milwaukee,1,0,0,2,3-8,0-0,16:45,0,5,-14,8,0,2-6,2,2
