Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,2,1,1,10,11-22,10-10,36:05,1,2,-10,35,3,3-6,11,7
David West,Indiana,3,0,1,5,2-10,0-0,27:19,2,5,-5,4,2,0-0,7,2
Roy Hibbert,Indiana,2,0,0,4,2-5,0-0,23:37,1,3,-10,4,0,0-0,5,1
Lance Stephenson,Indiana,4,0,2,8,5-15,0-2,37:15,2,3,-18,10,0,0-4,10,2
George Hill,Indiana,1,1,0,6,4-8,3-4,31:41,0,3,-12,13,1,2-3,6,2
Ian Mahinmi,Indiana,1,1,0,0,2-4,1-2,23:05,1,4,-2,5,2,0-1,1,0
Danny Granger,Indiana,1,0,0,2,1-6,0-0,17:38,1,1,+4,2,0,0-2,3,0
C.J. Watson,Indiana,1,0,1,1,3-7,0-0,15:06,0,2,-1,6,0,0-2,1,1
Chris Copeland,Indiana,1,0,0,1,2-4,1-2,10:45,0,2,+1,6,0,1-2,1,0
Luis Scola,Indiana,0,0,0,2,1-2,0-0,9:56,1,1,-9,2,0,0-0,3,3
Rasual Butler,Indiana,0,0,0,0,1-2,0-0,2:31,0,1,-1,2,2,0-1,0,1
Orlando Johnson,Indiana,1,0,0,1,1-2,0-0,2:31,0,0,-1,2,0,0-1,1,1
Donald Sloan,Indiana,0,0,0,0,0-0,0-0,2:31,0,0,-1,0,0,0-0,0,1
Kevin Love,Minnesota,1,0,0,15,14-22,9-10,37:22,1,2,+14,42,1,5-10,16,3
Corey Brewer,Minnesota,1,0,1,1,5-10,2-3,27:37,0,4,+10,12,3,0-1,1,0
Ronny Turiaf,Minnesota,0,2,1,3,5-7,1-8,29:32,1,3,+3,11,1,0-0,4,0
Ricky Rubio,Minnesota,17,0,0,6,2-10,2-6,32:57,1,1,+9,6,2,0-0,7,2
Chase Budinger,Minnesota,2,0,0,2,2-8,0-0,28:22,0,3,+2,5,1,1-5,2,1
Luc Richard Mbah a Moute,Minnesota,1,0,0,1,0-2,0-0,24:31,0,4,+7,0,1,0-1,1,1
Dante Cunningham,Minnesota,0,2,0,5,4-9,2-2,24:16,2,1,+5,10,1,0-0,7,2
J.J. Barea,Minnesota,3,0,1,1,6-10,0-0,14:35,0,1,+4,12,0,0-1,1,2
Alexey Shved,Minnesota,1,0,0,4,2-5,2-2,14:18,0,0,+7,6,0,0-2,4,2
Gorgui Dieng,Minnesota,0,1,0,1,0-0,0-0,4:00,0,1,+4,0,0,0-0,1,1
Robbie Hummel,Minnesota,0,0,0,0,0-0,0-0,0:50,0,0,+0,0,0,0-0,0,0
Shabazz Muhammad,Minnesota,0,0,0,0,0-0,0-0,0:50,0,0,+0,0,1,0-0,0,1
A.J. Price,Minnesota,0,0,0,0,0-0,0-0,0:50,0,0,+0,0,0,0-0,0,0
