Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Paul George,Indiana,0,1,1,7,6-22,6-6,38:06,2,1,-3,19,3,1-5,9,5
David West,Indiana,0,1,0,6,4-10,2-2,32:18,1,4,-2,10,0,0-0,7,4
Roy Hibbert,Indiana,1,5,0,1,3-8,2-5,31:58,1,4,-1,8,0,0-0,2,3
George Hill,Indiana,6,0,0,2,3-6,2-2,37:34,1,2,-4,8,2,0-0,3,1
Lance Stephenson,Indiana,4,0,1,10,3-13,7-8,35:29,4,2,-3,13,0,0-5,14,2
Evan Turner,Indiana,1,0,1,2,0-4,0-0,14:02,0,2,-17,0,0,0-1,2,1
Ian Mahinmi,Indiana,0,2,0,3,1-2,1-2,13:49,3,1,-14,3,0,0-0,6,0
Luis Scola,Indiana,1,0,0,2,5-8,0-0,13:39,1,3,-13,10,0,0-0,3,0
Donald Sloan,Indiana,0,0,1,1,3-4,0-0,10:26,0,0,-9,7,0,1-1,1,1
Chris Copeland,Indiana,0,0,0,0,0-2,0-0,6:30,0,0,-5,0,0,0-1,0,0
Lavoy Allen,Indiana,0,0,0,0,0-0,0-0,2:03,0,0,+2,0,0,0-0,0,0
Rasual Butler,Indiana,0,0,0,1,0-0,0-0,2:03,0,0,+2,0,0,0-0,1,0
Solomon Hill,Indiana,0,0,0,0,0-0,0-0,2:03,0,0,+2,0,0,0-0,0,0
Trevor Ariza,Washington,4,0,3,3,2-12,6-6,34:04,2,2,+5,11,1,1-5,5,0
Trevor Booker,Washington,0,0,0,3,3-3,0-0,19:29,1,3,-8,6,0,0-0,4,1
Marcin Gortat,Washington,0,2,1,8,8-15,1-1,34:08,4,3,+10,17,1,0-0,12,0
John Wall,Washington,8,1,1,2,9-21,1-1,38:00,0,3,+3,20,2,1-6,2,4
Bradley Beal,Washington,2,0,1,3,2-13,2-2,35:14,0,3,+2,7,0,1-3,3,0
Martell Webster,Washington,2,0,0,2,3-6,2-2,24:14,1,1,+20,11,1,3-6,3,2
Al Harrington,Washington,1,0,2,0,5-10,1-1,22:05,1,1,+20,12,0,1-3,1,0
Drew Gooden,Washington,1,0,1,6,1-5,1-2,20:18,0,4,+4,3,0,0-0,6,1
Andre Miller,Washington,2,1,0,4,1-2,2-2,10:42,2,1,+11,4,1,0-0,6,0
Garrett Temple,Washington,0,0,0,0,0-0,0-0,1:46,1,0,-2,0,0,0-0,1,0
