Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Blake Griffin,LA Clippers,7,0,1,9,11-18,4-7,37:06,4,2,+15,26,0,0-0,13,0
Matt Barnes,LA Clippers,3,0,0,2,5-6,0-0,23:30,0,2,+8,13,1,3-4,2,1
DeAndre Jordan,LA Clippers,2,1,0,7,4-5,2-6,43:07,5,3,+19,10,1,0-0,12,1
J.J. Redick,LA Clippers,5,0,0,1,5-11,4-4,33:33,0,2,+19,18,1,4-7,1,1
Darren Collison,LA Clippers,4,0,0,2,6-11,3-4,28:40,0,0,+15,17,1,2-3,2,1
Jamal Crawford,LA Clippers,3,0,0,3,6-14,4-5,26:23,1,1,+8,19,0,3-5,4,3
Jared Dudley,LA Clippers,1,0,0,1,0-3,0-0,18:35,0,3,+6,0,0,0-1,1,0
Hedo Turkoglu,LA Clippers,1,0,1,3,2-5,0-0,10:54,0,2,+2,5,0,1-1,3,0
Darius Morris,LA Clippers,0,0,0,1,0-0,0-0,6:44,0,1,-6,0,0,0-0,1,0
Willie Green,LA Clippers,0,0,0,0,2-3,0-0,5:41,0,0,+1,4,0,0-0,0,0
Ryan Hollins,LA Clippers,0,1,0,0,0-0,0-0,4:53,0,1,-2,0,0,0-0,0,0
Reggie Bullock,LA Clippers,0,0,0,1,0-0,0-0,0:54,0,0,+0,0,0,0-0,1,0
Mike Dunleavy,Chicago,2,0,0,1,6-14,3-3,30:05,2,1,-15,17,1,2-6,3,1
Carlos Boozer,Chicago,1,0,0,6,10-17,2-2,28:32,3,3,-11,22,1,0-0,9,3
Joakim Noah,Chicago,7,1,0,4,6-9,0-0,34:08,9,5,-14,12,0,0-0,13,1
Jimmy Butler,Chicago,3,0,1,4,3-15,2-2,41:17,2,1,-7,9,2,1-5,6,0
D.J. Augustin,Chicago,6,0,0,0,3-8,0-0,30:28,0,4,-13,7,0,1-2,0,0
Taj Gibson,Chicago,2,1,1,3,8-18,2-2,25:45,1,2,-14,18,1,0-0,4,1
Tony Snell,Chicago,1,0,0,2,2-5,0-0,20:44,1,1,-9,5,0,1-3,3,1
Mike James,Chicago,5,0,0,2,2-5,0-2,17:32,0,0,-4,5,0,1-3,2,1
Nazr Mohammed,Chicago,0,0,0,2,0-2,0-0,6:41,2,0,+5,0,0,0-0,4,0
Cartier Martin,Chicago,0,0,0,2,0-0,0-0,3:54,0,0,-3,0,0,0-0,2,0
Erik Murphy,Chicago,0,0,0,0,0-0,0-0,0:54,0,0,+0,0,0,0-0,0,0
