Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Lamar Odom,LA Clippers,1,1,0,8,2-6,0-1,19:00,0,3,+0,4,1,0-2,8,1
Jamal Crawford,LA Clippers,0,0,0,2,2-11,5-6,28:28,1,0,+0,9,0,0-5,3,3
Caron Butler,LA Clippers,0,0,0,2,3-9,0-0,27:03,0,2,+0,7,0,1-6,2,2
Matt Barnes,LA Clippers,3,2,0,2,4-10,0-2,26:40,3,2,+0,9,1,1-4,5,0
Willie Green,LA Clippers,0,0,0,1,1-9,0-0,17:00,0,0,+0,2,2,0-5,1,0
Chris Paul,LA Clippers,6,0,0,4,4-9,1-1,33:57,0,1,+0,10,2,1-4,4,3
Ronny Turiaf,LA Clippers,1,1,0,0,1-2,0-2,14:06,1,2,+0,2,0,0-0,1,0
Ryan Hollins,LA Clippers,0,0,0,0,0-0,0-0,2:37,0,0,+0,0,0,0-0,0,0
DeAndre Jordan,LA Clippers,0,3,0,6,4-4,3-10,26:06,5,3,+0,11,3,0-0,11,1
Blake Griffin,LA Clippers,2,0,0,6,4-11,4-7,28:28,3,5,+0,12,1,0-0,9,1
Eric Bledsoe,LA Clippers,2,0,0,1,5-7,0-0,16:35,1,0,+0,12,0,2-3,2,2
Andre Miller,Denver,12,0,0,2,6-9,0-0,41:21,1,5,+0,12,1,0-1,3,3
Andre Iguodala,Denver,8,0,0,7,5-10,1-5,36:35,0,1,+0,12,2,1-5,7,3
Corey Brewer,Denver,4,0,0,3,5-14,0-0,26:40,1,2,+0,10,4,0-6,4,0
Danilo Gallinari,Denver,1,1,0,5,6-15,2-4,33:42,1,1,+0,17,1,3-7,6,2
Anthony Randolph,Denver,0,0,0,1,0-0,0-0,1:16,0,0,+0,0,0,0-0,1,0
JaVale McGee,Denver,3,1,0,7,5-10,0-2,17:14,0,4,+0,11,0,1-1,7,1
Kosta Koufos,Denver,0,0,0,3,2-5,0-0,22:38,2,3,+0,4,0,0-0,5,1
Timofey Mozgov,Denver,0,1,0,1,1-3,2-2,12:30,5,2,+0,4,0,0-1,6,1
Kenneth Faried,Denver,0,1,0,6,5-11,4-4,35:16,5,5,+0,14,2,0-0,11,3
Jordan Hamilton,Denver,0,0,0,2,0-1,2-2,4:38,0,0,+0,2,1,0-0,2,0
Evan Fournier,Denver,0,0,0,0,2-4,0-2,8:10,0,3,+0,6,0,2-2,0,1
