Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Blake Griffin,LA Clippers,5,0,1,2,9-16,7-12,32:49,3,3,+1,25,1,0-2,5,4
Matt Barnes,LA Clippers,2,0,1,4,4-8,0-0,26:46,1,3,-6,10,2,2-4,5,2
DeAndre Jordan,LA Clippers,1,4,1,12,8-11,0-6,40:04,9,3,+8,16,0,0-0,21,0
J.J. Redick,LA Clippers,6,0,0,0,5-9,7-9,36:29,0,2,+11,20,0,3-5,0,2
Darren Collison,LA Clippers,6,1,0,1,0-6,4-4,31:00,0,1,+4,4,3,0-2,1,4
Jamal Crawford,LA Clippers,4,0,1,2,9-13,5-6,27:04,1,0,+4,26,0,3-5,3,3
Jared Dudley,LA Clippers,2,0,0,0,3-3,0-0,18:03,1,1,+12,7,1,1-1,1,1
Hedo Turkoglu,LA Clippers,1,1,0,6,0-4,0-0,14:43,0,1,+10,0,0,0-2,6,1
Ryan Hollins,LA Clippers,0,1,0,1,2-2,0-0,7:57,0,2,+1,4,0,0-0,1,1
Darius Morris,LA Clippers,0,0,0,1,0-0,0-0,5:06,0,3,+0,0,0,0-0,1,0
Josh Smith,Detroit,0,0,0,6,12-22,0-3,42:03,0,2,+3,24,1,0-3,6,1
Greg Monroe,Detroit,3,0,1,2,1-3,4-4,29:40,1,2,-13,6,2,0-0,3,3
Andre Drummond,Detroit,0,2,0,8,5-6,5-8,34:13,3,4,-4,15,2,0-0,11,2
Brandon Jennings,Detroit,6,0,1,0,0-7,0-0,28:19,0,5,+2,0,0,0-3,0,1
Kentavious Caldwell-Pope,Detroit,2,0,0,1,2-4,2-2,20:12,0,5,+5,6,3,0-1,1,0
Rodney Stuckey,Detroit,4,1,3,3,11-20,6-7,34:25,1,3,-7,29,0,1-2,4,2
Kyle Singler,Detroit,1,0,2,2,3-10,2-2,28:31,2,1,-14,8,2,0-3,4,1
Will Bynum,Detroit,1,1,0,0,5-6,1-1,17:02,0,3,-14,11,0,0-1,0,2
Josh Harrellson,Detroit,0,0,0,0,1-1,1-2,5:22,1,2,-2,4,0,1-1,1,0
Jonas Jerebko,Detroit,0,0,0,0,0-0,0-0,0:13,0,1,-1,0,0,0-0,0,0
